lhs,rhs,support,confidence,lift
 Dog Walkers, Pets,0.005226481,1,63.77777778
 Wine & Spirits, Beer,0.005226481,1,44.15384615
 Venues & Event Spaces, Event Planning & Services,0.006968641,1,16.88235294
 Fast Food,Burgers,0.005226481,0.75,28.7
Italian, Pizza,0.010452962,0.857142857,17.57142857
 Nurseries & Gardening, Home & Garden,0.005226481,1,57.4
 Cocktail Bars, Nightlife,0.005226481,1,10.25
 Real Estate, Apartments,0.005226481,1,143.5
 Apartments, Real Estate,0.005226481,0.75,143.5
 Real Estate,Home Services,0.005226481,1,114.8
 Wine Bars, Nightlife,0.005226481,1,10.25
Books, Music & Video,0.005226481,1,143.5
 Music & Video,Books,0.005226481,0.75,143.5
Books, Mags,0.005226481,1,143.5
 Mags,Books,0.005226481,0.75,143.5
 Lounges, Nightlife,0.005226481,1,10.25
 Yoga, Fitness & Instruction,0.005226481,1,44.15384615
 Yoga,Active Life,0.005226481,1,27.33333333
Pet Services, Pet Boarding/Pet Sitting,0.006968641,1,82
Tires, Automotive,0.006968641,1,27.33333333
 Gastropubs, Nightlife,0.005226481,1,10.25
Arts & Crafts, Event Planning & Services,0.005226481,1,16.88235294
Arts & Crafts, Shopping,0.005226481,1,13.34883721
 Apartments,Home Services,0.006968641,1,114.8
Home Services, Apartments,0.006968641,0.8,114.8
 Music & Video, Mags,0.006968641,1,143.5
 Mags, Music & Video,0.006968641,1,143.5
 Music & Video, Shopping,0.005226481,0.75,10.01162791
Museums, Arts & Entertainment,0.006968641,1,57.4
Mags, Shopping,0.005226481,0.75,10.01162791
Hair Salons, Nail Salons,0.005226481,0.75,39.13636364
Hair Salons, Beauty & Spas,0.005226481,0.75,28.7
Parks,Active Life,0.012195122,0.777777778,13.52861953
Trainers, Gyms,0.008710801,0.833333333,39.86111111
 Pubs, Nightlife,0.012195122,1,10.25
 Italian,Restaurants,0.010452962,0.75,5.817567568
Beauty & Spas, Nail Salons,0.010452962,0.857142857,44.72727273
Pubs, Nightlife,0.010452962,0.857142857,8.785714286
 Desserts,Food,0.010452962,0.75,6.833333333
 Hotels, Event Planning & Services,0.013937282,0.8,13.50588235
 Sports Bars, Nightlife,0.015679443,0.9,9.225
 Wine & Spirits, Beer,0.017421603,0.909090909,40.13986014
