,business_id,latitude_x,longitude_x,clusters,review_count,stars,categories,city,state,category_list
0,0zO219KZJf-5QsRNRMmELQ,40.4003873,-80.0440153,1,3,2.0,[],Pittsburgh,PA,"['', 6.0]"
1,TUEoHj_JBNotNzTfcVF4GA,40.401355,-80.043137,1,9,4.5,"[Automotive, Auto Detailing]",Pittsburgh,PA,"['Automotive', ' Auto Detailing', 40.5]"
2,6ueyG_SeDQ2KpLx55Qv9xA,40.3997996939,-80.0440263748,1,21,3.0,"[Beauty & Spas, Nail Salons]",Pittsburgh,PA,"['Beauty & Spas', ' Nail Salons', 63.0]"
3,jetVJScqUDj_bl6RzlNlnw,40.400967,-80.0425457,1,9,4.0,"[Pizza, Sandwiches, Restaurants]",Pittsburgh,PA,"['Pizza', ' Sandwiches', ' Restaurants', 36.0]"
4,vsZPOpeQaMt8bamrdkW8jA,40.398694,-80.044254,1,6,3.0,"[Food, Ice Cream & Frozen Yogurt]",Pittsburgh,PA,"['Food', ' Ice Cream & Frozen Yogurt', 18.0]"
5,qFY39MzKFQcT6dx56vqb7Q,40.399287,-80.0445746,1,4,2.5,"[Fast Food, Sandwiches, Restaurants]",Pittsburgh,PA,"['Fast Food', ' Sandwiches', ' Restaurants', 10.0]"
6,JFBg0EvHlRdyWWhe9Agl0g,40.4003061882,-80.0429997204,1,22,3.5,"[Burgers, Bars, American (New), Nightlife, Restaurants]",Pittsburgh,PA,"['Burgers', ' Bars', ' American (New)', ' Nightlife', ' Restaurants', 77.0]"
7,9NL2GL4jSPVj9SKijH5PqA,40.3996765,-80.0434133,1,18,4.0,"[Food, Grocery]",Pittsburgh,PA,"['Food', ' Grocery', 72.0]"
8,p317g5ZNIO4MBjaOrY0kiA,40.402098,-80.041467,1,5,4.5,"[Italian, Pizza, Restaurants]",Pittsburgh,PA,"['Italian', ' Pizza', ' Restaurants', 22.5]"
9,f0Sz4efqcGDO45fNyIuD3w,40.3992789,-80.0445647,1,3,2.0,"[Barbers, Beauty & Spas]",Pittsburgh,PA,"['Barbers', ' Beauty & Spas', 6.0]"
10,PK56RYEhsLH3XLXtAkFOVg,40.3997963,-80.044034,1,4,2.5,[Shopping],Pittsburgh,PA,"['Shopping', 10.0]"
11,WGtAd_CzOGuyejMsGiiY5g,40.4017064,-80.041801,1,14,2.5,"[Local Services, Dry Cleaning & Laundry]",Pittsburgh,PA,"['Local Services', ' Dry Cleaning & Laundry', 35.0]"
12,Q6b-V99kzl6hUYug7AuYKA,40.3994122,-80.0436318,1,12,3.0,"[Food, Coffee & Tea]",Pittsburgh,PA,"['Food', ' Coffee & Tea', 36.0]"
13,9rbWt_PX8qVVN-nEJv3A9Q,40.399457,-80.043683,1,4,3.5,"[Hair Salons, Beauty & Spas]",Pittsburgh,PA,"['Hair Salons', ' Beauty & Spas', 14.0]"
14,PrIU_mB8vhcIfQj5T1XBfg,40.40105,-80.0424097,1,74,3.5,"[Indian, Restaurants]",Pittsburgh,PA,"['Indian', ' Restaurants', 259.0]"
15,gK7JH1FrLr1lZWRVvY8MmA,40.3992747,-80.044568,1,6,4.0,"[American (Traditional), Restaurants]",Pittsburgh,PA,"['American (Traditional)', ' Restaurants', 24.0]"
16,CeWbvJxSauOw4uvEaMxa5w,40.3994662,-80.0444159,1,4,3.5,"[Food, Herbs & Spices, Specialty Food]",Banksville,PA,"['Food', ' Herbs & Spices', ' Specialty Food', 14.0]"
17,lIdAVO8-xX4So3AV6rBVNw,40.398694,-80.044254,1,12,2.5,"[Pizza, Restaurants]",Pittsburgh,PA,"['Pizza', ' Restaurants', 30.0]"
18,cRv7pLvIe3eI0efndQBcLg,40.4010646,-80.0434725,1,4,3.0,"[Food, Beer, Wine & Spirits]",Pittsburgh,PA,"['Food', ' Beer', ' Wine & Spirits', 12.0]"
19,U35V81BeSi8NUHA2zxp71w,40.4415702,-79.9573067,2,33,3.0,"[Japanese, Chinese, Restaurants]",Pittsburgh,PA,"['Japanese', ' Chinese', ' Restaurants', 99.0]"
20,yKIo8_tja6-vEYEzsPsdRQ,40.440304,-79.956279,2,32,4.0,"[Szechuan, Chinese, Restaurants]",Pittsburgh,PA,"['Szechuan', ' Chinese', ' Restaurants', 128.0]"
21,xO6G96G_mjTO8lYcOCU5tA,40.436407,-79.9544839,2,4,3.5,"[Restaurants, Turkish]",Pittsburgh,PA,"['Restaurants', ' Turkish', 14.0]"
22,hAe74kBgCuQUfn1kyVWA1w,40.444893,-79.9490053,2,9,2.0,"[Health & Medical, Dentists, General Dentistry]",Pittsburgh,PA,"['Health & Medical', ' Dentists', ' General Dentistry', 18.0]"
