,cluster,cluster_frequency
0,1,"[(' Restaurants', 7), ('Food', 5), ('Pizza', 2), (' Beauty & Spas', 2), (' Sandwiches', 2), ('', 1), (' Ice Cream & Frozen Yogurt', 1), ('Beauty & Spas', 1), ('Fast Food', 1), ('Indian', 1), (' Specialty Food', 1), (' Herbs & Spices', 1), ('Hair Salons', 1), ('Shopping', 1), (' American (New)', 1), (' Grocery', 1), (' Auto Detailing', 1), (' Nightlife', 1), (' Wine & Spirits', 1), (' Bars', 1), (' Nail Salons', 1), (' Coffee & Tea', 1), ('Local Services', 1), ('Burgers', 1), ('Italian', 1), ('Barbers', 1), (' Dry Cleaning & Laundry', 1), ('American (Traditional)', 1), (' Beer', 1), ('Automotive', 1), (' Pizza', 1)]"
1,2,"[(' Restaurants', 99), ('Food', 40), (' Nightlife', 17), (' Shopping', 16), (' Coffee & Tea', 13), (' Bars', 12), (' Beauty & Spas', 11), (' Chinese', 9), (' Sandwiches', 9), ('Hair Salons', 8), ('Pizza', 7), ('Restaurants', 6), (' Ice Cream & Frozen Yogurt', 6), (' Indian', 6), (' Specialty Food', 6), (' Arts & Entertainment', 6), ('Fast Food', 6), (' Japanese', 6), ('Dive Bars', 5), ('American (Traditional)', 5), ('American (New)', 5), ('Burgers', 5), ('Bars', 5), (' Health & Medical', 5), (' Event Planning & Services', 5), ('Sandwiches', 4), (' Bubble Tea', 4), ('Museums', 4), (' Hotels', 4), (' Asian Fusion', 4), ('Korean', 4), (' Food Trucks', 4), ('Hotels & Travel', 4), ('Local Services', 4), (' Mediterranean', 4), ('Mexican', 4), (' Chicken Wings', 4), ('Sushi Bars', 3), (' Fast Food', 3), (' American (Traditional)', 3), (' Fashion', 3), (' Mags', 3), (' Music & Video', 3), (' Ethnic Food', 3), ('Delis', 3), (' Desserts', 3), (' Middle Eastern', 3), (' Italian', 3), ('Szechuan', 3), ('Indian', 3), ('Pubs', 3), (' Turkish', 3), (' Printing Services', 3), (' Pizza', 3), (' Grocery', 3), ('Optometrists', 3), (' Piercing', 2), ('Arts & Entertainment', 2), (' Venues & Event Spaces', 2), (' American (New)', 2), (' Cafes', 2), (' Nail Salons', 2), (' Mexican', 2), (' Public Services & Government', 2), ('Nightlife', 2), ('Italian', 2), (' Creperies', 2), ('Breakfast & Brunch', 2), ('Active Life', 2), ('Shopping', 2), ('Peruvian', 2), (' Shipping Centers', 2), (' Burgers', 2), (' Sushi Bars', 2), (' Education', 2), ('Chinese', 2), ('Greek', 2), (' Bagels', 2), (' Food', 2), ('Tattoo', 2), ('Middle Eastern', 2), ('Pakistani', 2), (' Books', 2), (' Drugstores', 2), ('Libraries', 2), (' Hookah Bars', 2), (' Eyewear & Opticians', 2), (' Performing Arts', 2), (' Tea Rooms', 2), (' Accessories', 2), ('Soup', 2), ('Colleges & Universities', 2), (' Donuts', 2), (' Convenience Stores', 2), (' Candy Stores', 1), (' Sewing & Alterations', 1), (' Dentists', 1), ('Buffets', 1), (' Ophthalmologists', 1), ('Churches', 1), ('Comic Books', 1), (' Breakfast & Brunch', 1), (' Museums', 1), ('Grocery', 1), ('Music & DVDs', 1), ('Movers', 1), (' Barbers', 1), (' Taiwanese', 1), ('Fashion', 1), ('Sporting Goods', 1), (' Shaved Ice', 1), (' Hair Removal', 1), (' Parks', 1), (' Antiques', 1), (' Mobile Phones', 1), ('Event Planning & Services', 1), (' Art Galleries', 1), ('Beauty & Spas', 1), (' Meat Shops', 1), (' Arts & Crafts', 1), (' Tex-Mex', 1), (' Lounges', 1), (' Thai', 1), ("" Men's Hair Salons"", 1), (' Street Vendors', 1), ('Coffee & Tea', 1), ('Thai', 1), ('Seafood', 1), ('Cuban', 1), (""Women's Clothing"", 1), ('Burmese', 1), (' Religious Organizations', 1), (' Bikes', 1), ('Uniforms', 1), ('Arts & Crafts', 1), (' Shoe Stores', 1), ('Health & Medical', 1), (' Korean', 1), ('Turkish', 1), ('Bangladeshi', 1), (' Financial Services', 1), (' Doctors', 1), (' Obstetricians & Gynecologists', 1), ('Jewelry', 1), (' Florists', 1), (' Food Stands', 1), (' Music Venues', 1), ('Doctors', 1), (' Home Services', 1), ('Gastropubs', 1), (' Signmaking', 1), (' Buffets', 1), (' Wine & Spirits', 1), (' Notaries', 1), (' General Dentistry', 1), (' Jewelry', 1), ('Taiwanese', 1), ('Books', 1), (' Comfort Food', 1), (' Karaoke', 1), (' Professional Services', 1), (' Bakeries', 1), ('Banks & Credit Unions', 1), (' Salad', 1), (' Vegetarian', 1), (' Beer', 1), (' Bookstores', 1), ('Medical Centers', 1), ('Gift Shops', 1), ('Flowers & Gifts', 1), (' Financial Advising', 1), (' Popcorn Shops', 1), (' Moroccan', 1), (' Screen Printing/T-Shirt Printing', 1), ('Art Supplies', 1), ('Japanese', 1), (' Flowers & Gifts', 1), ('Financial Services', 1), ('Hot Dogs', 1)]"
2,3,"[(' Restaurants', 144), ('Food', 47), (' Nightlife', 37), (' Beauty & Spas', 32), (' Shopping', 25), ('Bars', 23), (' Health & Medical', 16), ('Pizza', 16), (' Bars', 15), ('Hair Salons', 14), (' Coffee & Tea', 14), ('Local Services', 14), ('Shopping', 13), (' American (Traditional)', 12), ('Health & Medical', 12), (' Grocery', 11), (' Automotive', 10), (' Sandwiches', 10), (' Dentists', 9), ('Active Life', 9), (' Dry Cleaning & Laundry', 9), (' Italian', 8), ('Chinese', 8), (' Drugstores', 8), (' Pizza', 8), (' Ice Cream & Frozen Yogurt', 7), ('Automotive', 7), (' Home Services', 7), ('Hotels & Travel', 7), (' Real Estate', 6), (' American (New)', 6), ('Italian', 6), ('American (New)', 6), ('Thai', 6), ('Burgers', 6), (' Food', 6), ('Barbers', 6), (' General Dentistry', 6), ('Fast Food', 6), (' Fitness & Instruction', 6), (' Fashion', 6), ('Mexican', 6), ('Auto Repair', 6), (' Cafes', 5), (' Nail Salons', 5), ('Dive Bars', 5), (' Japanese', 5), (' Arts & Entertainment', 5), (' Mags', 4), ('Restaurants', 4), (' Music & Video', 4), ('Indian', 4), (' Pets', 4), (' Cocktail Bars', 4), ('Day Spas', 4), (' Apartments', 4), ('Asian Fusion', 4), (' Barbeque', 4), ('Tattoo', 4), (' Music Venues', 4), ('Bakeries', 4), (' Home & Garden', 4), (' Piercing', 4), (' Mediterranean', 4), (' Convenience Stores', 4), (' Massage', 3), (' Shipping Centers', 3), (' Event Planning & Services', 3), (' Hospitals', 3), (' Pet Stores', 3), (' Mexican', 3), (' Sewing & Alterations', 3), (' Vegan', 3), (' Delis', 3), ('Nightlife', 3), ('Thrift Stores', 3), (' Wine & Spirits', 3), (' Caterers', 3), (' Gas & Service Stations', 3), (' Lounges', 3), ('Breakfast & Brunch', 3), (' Chicken Wings', 3), (' Desserts', 3), ('Used', 3), ('Optometrists', 3), ('Veterinarians', 3), (' Beer', 3), (' Home Decor', 3), (' Specialty Food', 3), (' Florists', 3), ('Pubs', 3), (' Gay Bars', 3), (' French', 3), ('Home Services', 3), (' Cosmetic Dentists', 3), (' Flowers & Gifts', 3), (' Chinese', 3), (' Performing Arts', 3), (' Vintage & Consignment', 3), ('Property Management', 3), (' Chiropractors', 3), ('Event Planning & Services', 3), ('Soul Food', 3), ('Books', 2), ('Arts & Entertainment', 2), ('Sandwiches', 2), ('Pets', 2), ('Endodontists', 2), ('Music & DVDs', 2), ('Sushi Bars', 2), ('French', 2), ('Pediatric Dentists', 2), (' Fast Food', 2), (' Trainers', 2), (' Urgent Care', 2), ('Caribbean', 2), ('Beauty & Spas', 2), ('Acupuncture', 2), (' Diners', 2), (' Public Services & Government', 2), (' Gyms', 2), (' Juice Bars & Smoothies', 2), (' Antiques', 2), (' Dance Studios', 2), (' Hotels', 2), (""Women's Clothing"", 2), ('Massage', 2), (' Bikes', 2), (' Bagels', 2), ('Wine Bars', 2), ('Keys & Locksmiths', 2), (' Oil Change Stations', 2), (' Car Dealers', 2), ('Turkish', 2), (' Mobile Phones', 2), (' Wine Bars', 2), (' Doctors', 2), ('Korean', 2), (' Electronics Repair', 2), (' Optometrists', 2), (' Books', 2), ('Doctors', 2), (' Day Spas', 2), (' Ophthalmologists', 2), (' Car Rental', 2), ('Vietnamese', 2), ('Fashion', 2), (' Professional Services', 2), (' Bookstores', 2), (' Accessories', 2), ('Flowers & Gifts', 2), ('American (Traditional)', 2), ('Japanese', 2), (' Farmers Market', 2), (' Auto Repair', 1), (' Hookah Bars', 1), (' Barre Classes', 1), (' Vinyl Records', 1), (' Hair Removal', 1), (' Venues & Event Spaces', 1), (' Fish & Chips', 1), (' Cosmetics & Beauty Supply', 1), (' Dance Clubs', 1), (' Mobile Phone Repair', 1), (' Breakfast & Brunch', 1), ('Tapas/Small Plates', 1), (' Do-It-Yourself Food', 1), (' Body Shops', 1), (' Reflexology', 1), (' Butcher', 1), ('Transmission Repair', 1), (' Life Coach', 1), (' Tires', 1), (' Massage Therapy', 1), (' Local Flavor', 1), (' Shoe Repair', 1), ('Sporting Goods', 1), ('Mediterranean', 1), (' Parks', 1), (' Post Offices', 1), ('Department Stores', 1), ('Delis', 1), ('Medical Centers', 1), (' Real Estate Services', 1), (' Vape Shops', 1), (' Jewelry', 1), (' Formal Wear', 1), (' Local Services', 1), ('Adult Entertainment', 1), (' Sporting Goods', 1), (' Tex-Mex', 1), (' Hot Dogs', 1), (' Steakhouses', 1), ("" Men's Hair Salons"", 1), ('Coffee & Tea', 1), (' Middle Eastern', 1), ('Tapas Bars', 1), (' Moroccan', 1), (' Food Delivery Services', 1), (' Security Systems', 1), ('Seafood', 1), (' Sushi Bars', 1), ('Cajun/Creole', 1), (' Furniture Stores', 1), (' Hair Stylists', 1), (' Tours', 1), (' Pet Training', 1), (' Ethnic Food', 1), (' Periodontists', 1), ('Mattresses', 1), ('Ethiopian', 1), ('Brasseries', 1), (' Gluten-Free', 1), (' Family Practice', 1), (' Financial Services', 1), (' Gastropubs', 1), (' Obstetricians & Gynecologists', 1), (' Reiki', 1), ('Barbeque', 1), (' Seafood', 1), ('Southern', 1), ('Persian/Iranian', 1), (' Garage Door Services', 1), ('Yelp Events', 1), (' Sports Bars', 1), ('Vegetarian', 1), (' Travel Services', 1), (' Escape Games', 1), (' Signmaking', 1), (' Tapas Bars', 1), (' Pet Services', 1), ('Modern European', 1), (' Tanning', 1), (' Newspapers & Magazines', 1), (' Boot Camps', 1), ("" Men's Clothing"", 1), (' IT Services & Computer Repair', 1), ('Pet Groomers', 1), (' Creperies', 1), (' Boxing', 1), (' Party & Event Planning', 1), ('Tires', 1), ('Real Estate Agents', 1), (' Bakeries', 1), (' Printing Services', 1), ('Oil Change Stations', 1), (' Comfort Food', 1), (' Transportation', 1), (' Food Trucks', 1), (' Teppanyaki', 1), ('Libraries', 1), (' Pubs', 1), (' Public Transportation', 1), (' Gift Shops', 1), ('Venezuelan', 1), (' Belgian', 1), ('Banks & Credit Unions', 1), (' Salad', 1), ('Massage Therapy', 1), (' Latin American', 1), (' Vietnamese', 1), ('Local Flavor', 1), (' Eyewear & Opticians', 1), (' Tea Rooms', 1), ('Gift Shops', 1), ('Discount Store', 1), ('Soup', 1), (' Polish', 1), (' Ethiopian', 1), ('Portuguese', 1), (' Yoga', 1), (' Tennis', 1), (' Caribbean', 1), ('Dermatologists', 1), (' Orthodontists', 1), (' Auto Detailing', 1)]"
3,4,"[(' Restaurants', 216), ('Food', 66), (' Nightlife', 40), (' Shopping', 34), ('Bars', 28), ('Hotels & Travel', 24), (' Coffee & Tea', 23), (' Sandwiches', 22), ('American (New)', 21), (' Italian', 21), (' Event Planning & Services', 20), ('Arts & Entertainment', 19), ('Restaurants', 18), (' Beauty & Spas', 17), ('American (Traditional)', 16), (' Food', 13), ('Shopping', 13), (' Hotels', 13), ('Sandwiches', 12), ('Active Life', 12), ('Pizza', 12), ('Local Services', 12), ('Bakeries', 11), ('Fast Food', 11), (' Performing Arts', 11), (' Health & Medical', 10), (' Food Trucks', 10), ('Mexican', 10), (' American (New)', 9), (' Fashion', 9), ('Burgers', 9), (' Juice Bars & Smoothies', 8), (' Cafes', 8), (' Nail Salons', 8), ('Delis', 8), (' Public Services & Government', 8), ('Greek', 8), (' American (Traditional)', 8), (' Specialty Food', 8), (' Arts & Entertainment', 8), (' Home Services', 8), (' Bars', 8), (' Fitness & Instruction', 8), ('Hair Salons', 7), (' Pizza', 7), (' Venues & Event Spaces', 6), (' Music & Video', 6), (' Art Galleries', 6), (' Mags', 6), (' Lounges', 6), ('Chinese', 6), ('Seafood', 6), (' Breakfast & Brunch', 5), (' Fast Food', 5), ('Thai', 5), (""Women's Clothing"", 5), (' Bagels', 5), ('Landmarks & Historical Buildings', 5), (' Books', 5), ('Barbers', 5), (' Transportation', 5), (' Salad', 5), (' Mediterranean', 5), (' Convenience Stores', 5), (' Trainers', 4), (' Sewing & Alterations', 4), (' Sports Bars', 4), (' Local Flavor', 4), ('Steakhouses', 4), ('Indian', 4), (' Cocktail Bars', 4), ('Automotive', 4), ('Cafes', 4), (' Desserts', 4), ('Health & Medical', 4), (' Car Rental', 4), ("" Men's Clothing"", 4), (' Drugstores', 4), ('Local Flavor', 4), (' Eyewear & Opticians', 4), ('Hot Dogs', 4), (' Real Estate', 3), (' Shipping Centers', 3), ('Sushi Bars', 3), (""Men's Clothing"", 3), ('Music & DVDs', 3), (' Ethnic Food', 3), (' Hair Removal', 3), ('Mediterranean', 3), ('Event Planning & Services', 3), (' Ice Cream & Frozen Yogurt', 3), (' Optometrists', 3), ('Beauty & Spas', 3), (' Diners', 3), ('Breakfast & Brunch', 3), (' Middle Eastern', 3), (' Gyms', 3), (' Burgers', 3), (' Hotels & Travel', 3), ('Museums', 3), (' Education', 3), (' Beer', 3), ('Italian', 3), (' Chiropractors', 3), (' Automotive', 3), ('Doctors', 3), (' Turkish', 3), ('Wine Bars', 3), (' Professional Services', 3), ('Optometrists', 3), (' Wine & Spirits', 3), (' Flowers & Gifts', 3), (' Candy Stores', 2), (' Dentists', 2), ('Train Stations', 2), ('Churches', 2), ('Soul Food', 2), ('Salad', 2), (' Taxis', 2), (' Comic Books', 2), (' Mexican', 2), (' Shoe Repair', 2), (' Car Share Services', 2), (' Caterers', 2), (' Parks', 2), (' Chinese', 2), ('Banks & Credit Unions', 2), (' Chicken Wings', 2), ('Tapas Bars', 2), (' Active Life', 2), (' Sushi Bars', 2), (' Steakhouses', 2), (' Apartments', 2), (' Tours', 2), (' Religious Organizations', 2), (' Shoe Stores', 2), (' Mobile Phones', 2), (' Financial Services', 2), (' Obstetricians & Gynecologists', 2), (' Seafood', 2), (' Florists', 2), (' Music Venues', 2), (' Pilates', 2), ('Yelp Events', 2), (' Dry Cleaning & Laundry', 2), (' Signmaking', 2), (' Gay Bars', 2), (' Toy Stores', 2), (' Jewelry', 2), (' Limos', 2), (' Printing Services', 2), ('Home Cleaning', 2), (' Pubs', 2), (' Auto Detailing', 2), (' Yoga', 2), (' Day Spas', 2), (' Donuts', 2), ('Skin Care', 2), (' Auto Repair', 1), ('Masonry/Concrete', 1), (' Festivals', 1), ('Tapas/Small Plates', 1), (' Landmarks & Historical Buildings', 1), ('Buffets', 1), (' Massage', 1), (' Grocery', 1), (' Vinyl Records', 1), ('Comic Books', 1), (' Fruits & Veggies', 1), (' Dance Clubs', 1), (' Gluten-Free', 1), (' Champagne Bars', 1), (' Waxing', 1), (' Professional Sports Teams', 1), (' Hospitals', 1), (' Airport Shuttles', 1), (' Cooking Schools', 1), ('Musical Instruments & Teachers', 1), (' Sports Clubs', 1), ('Movers', 1), ('Massage', 1), (' Southern', 1), (' Auto Parts & Supplies', 1), ('Nightlife', 1), ('Specialty Schools', 1), (' Contractors', 1), ('Fashion', 1), ('Thrift Stores', 1), ('Public Services & Government', 1), ('Department Stores', 1), ('Day Spas', 1), (' Hair Stylists', 1), ('Oral Surgeons', 1), ('Vitamins & Supplements', 1), (' Stadiums & Arenas', 1), ('Chicken Wings', 1), (' Local Services', 1), ('Caterers', 1), ('Adult Entertainment', 1), ('Cards & Stationery', 1), ('Real Estate Services', 1), (' Tex-Mex', 1), ('Peruvian', 1), ('Coffee & Tea', 1), (' Hiking', 1), (' Social Clubs', 1), (' Food Delivery Services', 1), (' Mass Media', 1), (' Delis', 1), ('Barbeque', 1), (' Accessories', 1), ('Cajun/Creole', 1), (' Cosmetics & Beauty Supply', 1), ('Uzbek', 1), ('Flowers & Gifts', 1), (' Indian', 1), ('Asian Fusion', 1), ('Arts & Crafts', 1), ('Electricians', 1), (' Barbeque', 1), (' Specialty Schools', 1), ('Professional Services', 1), ('Books', 1), (' Internet Service Providers', 1), ('Turkish', 1), (' Vegan', 1), ('Tires', 1), (' Department Stores', 1), (' Wine Bars', 1), (' Doctors', 1), ('Korean', 1), ('Pakistani', 1), ('Shopping Centers', 1), (' Lebanese', 1), (' Cuban', 1), ('Nutritionists', 1), (' Chimney Sweeps', 1), (' Breweries', 1), (' Couriers & Delivery Services', 1), (' Medical Centers', 1), ('Food Court', 1), (' African', 1), ('Gastropubs', 1), (' Community Service/Non-Profit', 1), (' Jazz & Blues', 1), ('Vegetarian', 1), (' Photography Stores & Services', 1), ('Art Schools', 1), (' Bike Rentals', 1), (' Parking', 1), (' Tanning', 1), (' Newspapers & Magazines', 1), (' General Dentistry', 1), (' Television Service Providers', 1), ('Tobacco Shops', 1), ('Newspapers & Magazines', 1), ('Property Management', 1), (' Cardiologists', 1), ('Modern European', 1), (' Comfort Food', 1), (' Office Cleaning', 1), (' Special Education', 1), (' Chocolatiers & Shops', 1), (' Cinema', 1), ('Opera & Ballet', 1), ('Libraries', 1), (' Karaoke', 1), (' Gift Shops', 1), (' Videos & Video Game Rental', 1), ('Home Services', 1), (' Cosmetic Dentists', 1), (' Bakeries', 1), (' Comedy Clubs', 1), ('Departments of Motor Vehicles', 1), (' Skating Rinks', 1), (' Vegetarian', 1), (' Funeral Services & Cemeteries', 1), (' Soup', 1), (' Bookstores', 1), (' Latin American', 1), (' Japanese', 1), ('Print Media', 1), ('Religious Organizations', 1), ('Jazz & Blues', 1), (' Dim Sum', 1), (' Security Systems', 1), (' Asian Fusion', 1), (' Public Transportation', 1), (' Popcorn Shops', 1), (' Arts & Crafts', 1), (' Tapas Bars', 1), ('Colleges & Universities', 1), (' Ophthalmologists', 1), (' Belgian', 1), (' Paint & Sip', 1), ('Gift Shops', 1), ('Cafeteria', 1), (' Hair Salons', 1), (' Hot Dogs', 1)]"
4,5,"[(' Restaurants', 5), ('Arts & Entertainment', 4), (' Arts & Entertainment', 4), (' Nightlife', 3), ('Museums', 3), (' Stadiums & Arenas', 2), (' Venues & Event Spaces', 2), (' American (New)', 2), (' Event Planning & Services', 2), ('Burgers', 2), (' Shopping', 1), ('American (New)', 1), (' American (Traditional)', 1), (' Pubs', 1), (' Italian', 1), ('Landmarks & Historical Buildings', 1), (' Sports Bars', 1), ('Pubs', 1), (' Bars', 1), (' Cinema', 1), (' Fashion', 1), (' Public Services & Government', 1), ('Professional Sports Teams', 1), (' Music Venues', 1), ('Restaurants', 1), ('Bars', 1), (' Art Galleries', 1)]"
5,6,"[(' Gay Bars', 1), ('Bars', 1), (' Nightlife', 1)]"
6,7,"[(' Restaurants', 13), ('Food', 6), (' Shopping', 4), ('Burgers', 4), (' American (New)', 2), (' Grocery', 2), (' Fast Food', 2), (' Coffee & Tea', 2), (' Auto Repair', 1), (' Ice Cream & Frozen Yogurt', 1), ('American (New)', 1), (' Active Life', 1), (' Mags', 1), ('Beauty & Spas', 1), ('Arts & Entertainment', 1), (' Gyms', 1), (' Tex-Mex', 1), (' Salad', 1), ('Sandwiches', 1), ('Shopping Centers', 1), (' Specialty Food', 1), ('Pet Services', 1), (' Italian', 1), ('Shopping', 1), (' Cinema', 1), (' Discount Store', 1), (' Beauty & Spas', 1), (' Vegetarian', 1), (' Middle Eastern', 1), (' Breakfast & Brunch', 1), (' Automotive', 1), (' Pet Groomers', 1), (' Beer', 1), (' Bookstores', 1), (' Food', 1), ('Thai', 1), ('Italian', 1), (' Wine & Spirits', 1), (' Japanese', 1), (' Bars', 1), (' Pet Stores', 1), (' Furniture Stores', 1), (' Nail Salons', 1), (' Fitness & Instruction', 1), ('Health Markets', 1), (' Fashion', 1), ('Barbers', 1), ('Nightlife', 1), (' Home & Garden', 1), ('Restaurants', 1), (' Music & Video', 1), ('Steakhouses', 1), ('Mexican', 1), (' Oil Change Stations', 1), (' Drugstores', 1), ('Mediterranean', 1), (' Trainers', 1), ('Tires', 1), ('Department Stores', 1), ('Soup', 1), ('Books', 1), (' Sandwiches', 1), (' Pets', 1), (' Pet Training', 1), (' Pizza', 1)]"
7,8,"[(' Restaurants', 14), ('Burgers', 3), (' Sandwiches', 3), ('American (New)', 2), ('Fast Food', 2), (' Fast Food', 2), (' Nightlife', 2), (' Payroll Services', 1), (' Dentists', 1), (' Bed & Breakfast', 1), (' Vegan', 1), ('Breakfast & Brunch', 1), (' Financial Services', 1), ('Sandwiches', 1), (' Professional Services', 1), (' Gastropubs', 1), ('Pizza', 1), ('Hair Salons', 1), ('Food', 1), (' Beauty & Spas', 1), (' Vegetarian', 1), ('Accountants', 1), (' Police Departments', 1), ('Thai', 1), (' Burgers', 1), ('Animal Shelters', 1), (' Bars', 1), ('Yelp Events', 1), (' Fitness & Instruction', 1), (' Coffee & Tea', 1), (' Mexican', 1), (' Sports Bars', 1), (' Tax Services', 1), (' Veterinarians', 1), (' Local Flavor', 1), (' Event Planning & Services', 1), (' Hotels', 1), ('Bars', 1), (' Pet Adoption', 1), ('Greek', 1), (' Pilates', 1), ('Active Life', 1), ('Public Services & Government', 1), ('Health & Medical', 1), ('Hotels & Travel', 1), ('Wine Bars', 1), (' Pets', 1), ('Soul Food', 1)]"
8,9,"[(' Restaurants', 12), ('Food', 4), (' Nightlife', 2), (' Coffee & Tea', 2), ('Diners', 2), (' Irish', 2), (' Bars', 2), ('', 1), ('American (New)', 1), (' Food', 1), ('Libraries', 1), ('Indian', 1), ('Fast Food', 1), (' Venues & Event Spaces', 1), ('Sushi Bars', 1), ('Pizza', 1), (' Italian', 1), ('Shopping', 1), (' Salad', 1), (' Arts & Entertainment', 1), (' Breakfast & Brunch', 1), (' Wineries', 1), (' Wine & Spirits', 1), ('Bakeries', 1), (' Sewing & Alterations', 1), (' Japanese', 1), ('Local Services', 1), (' Desserts', 1), (' Public Services & Government', 1), ('Nightlife', 1), ('Pubs', 1), ('Restaurants', 1), ('Bars', 1), ('Chinese', 1), (' Sports Bars', 1), (' Toy Stores', 1), ('Mediterranean', 1), (' Beer', 1), (' Sandwiches', 1), (' Pizza', 1), ('Event Planning & Services', 1)]"
9,10,"[(' Restaurants', 29), (' Shopping', 23), ('Food', 16), (' Nightlife', 13), (' Fashion', 10), (""Women's Clothing"", 7), (' Beauty & Spas', 7), (' Bars', 7), ('Arts & Entertainment', 6), ('Bars', 6), ('Local Services', 6), ('Active Life', 5), (' Coffee & Tea', 5), (' Home & Garden', 5), (' American (New)', 4), ('Shopping', 4), (' Italian', 4), (' Automotive', 4), (' Event Planning & Services', 4), (' Accessories', 4), (' Dance Clubs', 3), ('Restaurants', 3), (' Cocktail Bars', 3), (' Arts & Crafts', 3), (' Middle Eastern', 3), (' Furniture Stores', 3), (' Desserts', 3), (' Food', 3), (' Beer', 3), (' Wine & Spirits', 3), (' Fitness & Instruction', 3), (' Yoga', 3), (' Convenience Stores', 3), (' Cafes', 2), ('Dive Bars', 2), (' Music & Video', 2), ('Breakfast & Brunch', 2), (' Lounges', 2), ('Hair Salons', 2), (' Bikes', 2), (' Education', 2), (' Shoe Stores', 2), ('Tattoo', 2), (' Mags', 2), (' Health & Medical', 2), ('Pubs', 2), ('Bakeries', 2), ("" Men's Clothing"", 2), (' Jewelry', 2), ('Auto Repair', 2), (' Pizza', 2), ('Pizza', 2), (' Mediterranean', 2), ("" Women's Clothing"", 2), (' Flowers & Gifts', 2), (' Musical Instrument Services', 1), (' Hookah Bars', 1), (' Costumes', 1), ('Jewelry', 1), (' Shipping Centers', 1), ('Sandwiches', 1), (' Juice Bars & Smoothies', 1), (""Children's Clothing"", 1), (' Venues & Event Spaces', 1), (' Cosmetics & Beauty Supply', 1), (' Party & Event Planning', 1), (' Fast Food', 1), (' American (Traditional)', 1), ('Italian', 1), ('Museums', 1), (' Nail Salons', 1), ('Cards & Stationery', 1), (' Mexican', 1), (' Barbers', 1), (' Public Services & Government', 1), ('Sporting Goods', 1), ('Fashion', 1), (' Eyewear & Opticians', 1), (' Post Offices', 1), ('Delis', 1), ('Medical Centers', 1), (' Art Galleries', 1), (' Gas & Service Stations', 1), (' Junk Removal & Hauling', 1), (' Optometrists', 1), ('Beauty & Spas', 1), (' Hot Dogs', 1), (' Antiques', 1), ("" Men's Hair Salons"", 1), (' Street Vendors', 1), ('Coffee & Tea', 1), ('Automotive', 1), ('Tapas Bars', 1), (' Sushi Bars', 1), ('Cuban', 1), (' Cinema', 1), ('Cafes', 1), ('Burgers', 1), (' Music Venues', 1), (' Furniture Reupholstery', 1), ('Asian Fusion', 1), (' Sporting Goods', 1), (' Home Decor', 1), (' Financial Services', 1), (' Specialty Food', 1), ('Barbeque', 1), (' Jewelry Repair', 1), (' Arts & Entertainment', 1), (' Greek', 1), (' Art Classes', 1), (' Hotels', 1), ('Doctors', 1), ('Vegetarian', 1), (' Books', 1), (' Bowling', 1), (' Halal', 1), (' Arcades', 1), ('Barbers', 1), (' Drugstores', 1), ('Tires', 1), (' Ophthalmologists', 1), ('Books', 1), ('Wine Bars', 1), (' Special Education', 1), (' Chocolatiers & Shops', 1), (' Vinyl Records', 1), (' Bike Repair/Maintenance', 1), (' French', 1), (' Bakeries', 1), ('Banks & Credit Unions', 1), (' Vegetarian', 1), (' Piercing', 1), (' Grocery', 1), (' Latin American', 1), (' Performing Arts', 1), ('Hotels & Travel', 1), (' Tea Rooms', 1), ('Spanish', 1), (' Guitar Stores', 1), (' Bike Rentals', 1), (' Turkish', 1), ('Art Supplies', 1), (' Paint & Sip', 1), (' Sandwiches', 1), (' Donuts', 1), ('Gift Shops', 1), (' Auto Detailing', 1)]"
