,business_id,latitude_x,longitude_x,clusters,review_count,stars,categories,city,state
0,0zO219KZJf-5QsRNRMmELQ,40.4003873,-80.0440153,1,3,2.0,[],Pittsburgh,PA
1,13aQBVZEbO5MzGrmDJ0IVw,40.4415422065,-79.9568209572,2,20,4.0,"[Food, Bubble Tea, Coffee & Tea]",Pittsburgh,PA
2,3zgswf_NfBJpeAoWeTkgMA,40.458267,-79.942274,3,52,4.0,"[Pubs, Bars, American (Traditional), Nightlife, Restaurants]",Pittsburgh,PA
3,4S5CdZawGJfP3vtR4eAQ1g,40.4404302,-79.9948801,4,61,3.5,"[Hotels & Travel, Event Planning & Services, Hotels]",Pittsburgh,PA
4,9lRJhLrLOgh0ZGhqsjBmLA,40.4456892967,-80.018228148,5,3,5.0,"[Museums, Arts & Entertainment]",Chateau,PA
5,FsY-8nYOCXyj9FoVxbjzTQ,40.471965,-80.037607,6,6,3.0,"[Bars, Gay Bars, Nightlife]",Pittsburgh,PA
6,H27egCbna1FH8X8HFpLD_A,40.4869686,-79.8848614,7,9,2.0,"[Tires, Automotive, Auto Repair, Oil Change Stations]",Pittsburgh,PA
7,IBQ-URinASf2z7_2Yt_LNg,40.45177,-80.016201,8,3,5.0,"[Active Life, Pilates, Fitness & Instruction]",Pittsburgh,PA
8,JEiSU3Kv6ZaS2y3AyT7_OA,40.4072133,-80.086786,9,8,4.5,"[Fast Food, Pizza, Restaurants]",Carnegie,PA
9,Mj7OA90Rx8Ts5G96X5pHCw,40.4391874,-79.9979013,4,3,5.0,"[Hair Salons, Day Spas, Nail Salons, Beauty & Spas]",Pittsburgh,PA
10,P9zs1E1Z4JqIR-zPmD1URw,40.4721491,-79.95953,10,66,4.0,"[Pubs, Bars, Nightlife, Dance Clubs]",Lawrenceville,PA
11,SzHTdZR3yY1WBYUxkVxmUQ,40.4389116,-80.0032374,4,18,3.0,"[Restaurants, Italian]",Pittsburgh,PA
12,cF0FbO-Jzcc9-jJa6qcwPA,40.469577,-79.960824,10,8,4.5,"[Shopping, Home & Garden, Antiques, Furniture Stores]",Pittsburgh,PA
13,d7X102hxjbTeWVhQVdh64g,40.411087,-80.025049,11,25,4.5,"[Latin American, Mexican, Restaurants]",Pittsburgh,PA
14,gXUTqgRQ_ZzkG7qEpR6PBw,40.4408964,-79.958095,2,6,2.5,"[Food, Grocery]",Pittsburgh,PA
15,o3i4gCHufzn2aMIQuxGlUw,40.368716,-80.034629,12,3,3.0,"[Shopping, Arts & Crafts, Gift Shops, Event Planning & Services, Cards & Stationery, Flowers & Gifts]",Pittsburgh,PA
16,s9HAozHThsCqZGTMkgtNlg,40.4405143828,-80.0024731563,4,5,5.0,"[Hotels & Travel, Limos, Transportation]",Pittsburgh,PA
17,xQYa2C1-tKGx65GpDDNePQ,40.4408753,-79.957545,2,18,3.5,"[Food, Coffee & Tea]",Pittsburgh,PA
18,B2ORp5G1QxI0e0n1UiG0UQ,40.432298,-80.0030208,13,5,3.0,"[Bars, Nightlife]",Pittsburgh,PA
19,Cko88SO9YEsg8jZEXke81w,40.4517965,-79.9527148,3,25,3.0,"[Indian, Restaurants]",Pittsburgh,PA
20,Dnw4OKO_qag-X1DOD4Dv7w,40.4571957,-79.9945941,14,3,3.5,"[Local Services, Furniture Reupholstery, Shopping, Home & Garden, Carpet Cleaning]",Pittsburgh,PA
21,EnlnNZx1DlO_pTwf1NU4wg,40.4435096,-79.9495912,2,60,4.5,"[Museums, Arts & Entertainment]",Pittsburgh,PA
22,HErV4BkgIDW0KKr8Jxrpyw,40.4375839233,-80.0004425049,4,8,4.0,"[Mexican, Restaurants]",Pittsburgh,PA
23,KEzIorUdFjqCuxbRxKPghA,40.4403955,-80.0010018,4,8,4.0,"[Pizza, Restaurants]",Pittsburgh,PA
24,NFO5GY2UYZ-OKXroJLDkKA,40.42918,-79.988274,15,8,2.0,"[Banks & Credit Unions, Financial Services]",Pittsburgh,PA
25,NfHxV49mtVRq8enjdq1CeQ,40.492457,-79.863376,16,16,4.0,"[Shopping, Jewelry, Antiques]",Pittsburgh,PA
26,UkylGV_aI3RCZJa9pHL0ag,40.353459,-79.979003,17,4,5.0,"[Health & Medical, Dentists, General Dentistry]",Pittsburgh,PA
27,V1MrrhkHkKFQc2dhl8hi6w,40.4273815453,-79.9973344803,18,9,4.5,"[Active Life, Parks]",Pittsburgh,PA
28,XtQgLRofbvrivJyinGZtkQ,40.4541927,-79.9473993,3,33,3.5,"[Fast Food, Mexican, Restaurants]",Pittsburgh,PA
29,Xti2_Z_gRSxsehYmY2JNbA,40.4293745,-79.9220431,19,4,3.5,"[Local Services, Dry Cleaning & Laundry, Carpet Cleaning]",Pittsburgh,PA
30,_7lfqYwzjAqWV6fUCWXP_Q,40.4879566436,-79.8854012403,7,5,4.5,"[Food, Coffee & Tea]",Pittsburgh,PA
31,k_YKbdDeNIETkjKi-cAN-A,40.388507,-80.049572,20,3,3.0,"[Arts & Crafts, Shopping]",Pittsburgh,PA
32,o3ljI0O6uFgsvTT4QM_LLw,40.388227,-79.912987,21,5,3.0,"[Pizza, Sandwiches, Restaurants]",Munhall,PA
33,ovIUSeYR4kncxyv86D6QPA,40.4430495,-79.9979345,4,24,4.0,"[Sandwiches, Restaurants]",Pittsburgh,PA
34,pMBxvWFY03Z95jNVUVWGwg,40.4290019,-79.9828,15,121,3.5,"[Breakfast & Brunch, Bars, American (New), Nightlife, Restaurants]",Pittsburgh,PA
35,qUJbCo-xJ9A4nE6nXMOwIg,40.4283162,-79.9727834,15,5,4.0,"[Active Life, Restaurants]",Pittsburgh,PA
36,ugAF3Hc9NPGl3SVx5ddG5g,40.4536756,-80.0004646,22,21,4.5,"[Food, Coffee & Tea]",Pittsburgh,PA
37,wluhsOjt03CgORropJKQoA,40.439597,-80.00141,4,6,2.5,"[Fast Food, Sandwiches, Restaurants]",Pittsburgh,PA
38,zeMmyM8fGFM-0GL2ZOl5Og,40.434151,-79.862572,23,3,2.5,"[Beauty & Spas, Nail Salons]",Pittsburgh,PA
39,znLLBvvY8Kv-8ZDESiPZzQ,40.4259393,-79.9806048,15,10,5.0,"[Pet Groomers, Pet Services, Pets]",Pittsburgh,PA
