,cluster,top_categories
0,0,"[' Restaurants', 'Indian', ' American (New)', ' Nightlife', ' Bars', 'Burgers', ' Grocery', ' Auto Detailing', 'Automotive', ' Sandwiches']"
1,1,"[' Restaurants', 'Food', 'American (New)', ' Ice Cream & Frozen Yogurt', 'Mexican', ' Arts & Entertainment', 'American (Traditional)', ' Asian Fusion', ' Tea Rooms', 'Delis']"
2,2,"[' Restaurants', ' Nightlife', 'Bars', ' American (Traditional)', 'Thai', 'Food', ' Beauty & Spas', ' American (New)', 'Burgers', 'Pizza']"
3,3,"[' Restaurants', ' American (New)', ' Nightlife', 'Steakhouses', 'American (New)', ' Italian', ' Pizza', 'Food', ' Event Planning & Services', ' Sandwiches']"
4,4,"['Arts & Entertainment', ' Venues & Event Spaces', ' Event Planning & Services', 'American (New)', ' Stadiums & Arenas', ' Arts & Entertainment', ' Restaurants', 'Museums', ' Music Venues', 'Professional Sports Teams']"
5,5,"[' Gay Bars', 'Bars', ' Nightlife']"
6,6,"['Burgers', ' Restaurants', ' American (New)', ' Vegetarian', ' Middle Eastern', 'Mediterranean', 'Sandwiches', ' Shopping', 'Italian', ' Pizza']"
7,7,"[' Restaurants', 'Thai', 'Burgers', ' Gastropubs', 'Soul Food', 'Sandwiches', ' Nightlife', ' Bed & Breakfast', ' Event Planning & Services', ' Hotels']"
8,8,"[' Restaurants', 'Food', ' Coffee & Tea', 'Indian', ' Italian', 'Restaurants', ' Breakfast & Brunch', 'American (New)', ' Salad', 'Sushi Bars']"
9,9,"[' Restaurants', ' Nightlife', 'Bars', ' American (New)', 'Food', ' Cocktail Bars', ' Italian', ' Dance Clubs', ' Shopping', 'Restaurants']"
10,10,"[' Restaurants', 'American (New)', ' Mexican', 'Latin American', 'Food', ' Coffee & Tea', 'Bars', ' Nightlife', ' Grocery']"
11,11,"[' Restaurants', ' Pizza', 'Mexican', 'Italian', ' Shopping', 'Beauty & Spas', ' Cosmetics & Beauty Supply', ' Nail Salons', 'Food', 'Thai']"
12,12,"[' Restaurants', 'Seafood', ' Breakfast & Brunch', ' Tours', 'Landmarks & Historical Buildings', ' Public Services & Government', ' Brazilian', 'Steakhouses', 'Fondue', 'Sushi Bars']"
13,13,"[' Shopping', ' Carpet Cleaning', ' Home & Garden', 'Local Services', ' Furniture Reupholstery']"
14,14,"[' Restaurants', ' Nightlife', ' Bars', 'Food', ' American (Traditional)', 'American (Traditional)', ' Pubs', ' American (New)', ' Desserts', 'Bars']"
15,15,"['Shopping', ' Jewelry', ' Antiques', 'Bars', ' American (Traditional)', ' Nightlife', ' Restaurants', ' Shopping', 'Tobacco Shops', ' Italian']"
16,16,"[' Car Dealers', 'Automotive', ' General Dentistry', ' Dentists', 'Health & Medical']"
17,17,"[' Parks', 'Active Life']"
18,18,"[' Restaurants', 'Food', 'Chinese', ' Coffee & Tea', ' Food', 'Bakeries', 'Thai', ' Desserts', ' Cafes', ' Ice Cream & Frozen Yogurt']"
19,19,"[' Restaurants', ' Nightlife', 'Bars', ' Pizza', ' American (New)', 'Cafes', 'Food', 'Sushi Bars', ' Coffee & Tea', ' Japanese']"
20,20,"[' Pizza', 'Italian', ' Restaurants', ' Sandwiches', 'Pizza']"
21,21,"[' Restaurants', ' Nightlife', ' Bars', 'Arts & Entertainment', ' Gastropubs', ' Jazz & Blues', ' American (New)', ' Pubs', 'German', 'Asian Fusion']"
22,22,"['Beauty & Spas', ' Nail Salons']"
23,23,"[' Automotive', ' Tires', 'Auto Repair', ' Oil Change Stations', 'Beauty & Spas', ' Nail Salons', 'Tanning Beds', ' Tanning', ' Beauty & Spas', ' Spray Tanning']"
24,24,"[' Restaurants', 'Food', 'Breakfast & Brunch', ' Beauty & Spas', 'Restaurants', ' Italian', ' Gelato', ' Pizza', ' Coffee & Tea', ' Shopping']"
25,25,"[' Restaurants', ' Specialty Food', ' Food', ' Vegetarian', 'Health Markets', ' Climbing', 'Active Life', ' Rock Climbing', 'Sandwiches', 'Local Services']"
26,26,"[' Restaurants', ' Steakhouses', 'American (Traditional)', ' Diners', ' Chicken Wings', 'Sandwiches', ' Pizza', ' Bowling', 'Active Life', ' Cards & Stationery']"
27,27,"['Veterinarians', ' Pets']"
28,28,"[' Pet Groomers', ' Pets', 'Pet Services', ' Pet Boarding/Pet Sitting', ' Ice Cream & Frozen Yogurt', 'Food']"
29,29,"[' Restaurants', 'Sushi Bars', ' Pizza', 'Italian', 'Food', ' Japanese', 'Pizza', ' Chinese', ' Coffee & Tea', 'Moroccan']"
30,30,"[' Restaurants', 'American (Traditional)', 'Food', 'Turkish', ' Pizza', ' Food', 'Bakeries', 'Diners', 'American (New)', ' Coffee & Tea']"
31,31,"[' Restaurants', 'Food', ' Bars', ' Specialty Food', ' Nightlife', ' Sandwiches', 'Argentine', 'Nightlife', 'Breakfast & Brunch', 'Bars']"
32,32,"[' Restaurants', 'Food', ' Ice Cream & Frozen Yogurt', 'Breakfast & Brunch', 'Thai', ' Cambodian', ' Shopping', ' Wine & Spirits', ' Beer', 'Diners']"
33,33,"[' Italian', 'Restaurants', ' Restaurants', 'Sushi Bars', ' Chinese', ' Coffee & Tea', ' Home & Garden', 'Kitchen & Bath', ' Shopping', 'Oil Change Stations']"
34,34,"[' Bars', 'Pubs', ' Sports Bars', ' Nightlife', 'Food', ' Coffee & Tea', ' Restaurants', 'Pizza', 'Breakfast & Brunch', ' Vegetarian']"
35,35,"['Local Services', ' Dry Cleaning & Laundry']"
36,36,"[' Restaurants', 'Barbeque', 'Pizza', ' Cheesesteaks', ' Chicken Wings', 'Food', 'Burgers', ' Grocery', ' Shopping', 'Diners']"
37,37,"[' Performing Arts', 'Arts & Entertainment']"
38,38,"[' Automotive', ' Towing', 'Auto Repair']"
39,39,"[' Italian', 'Food', ' Seafood', 'Steakhouses', ' Coffee & Tea', ' Shoe Repair', 'Veterinarians', ' Pets', ' Gas & Service Stations', ' Automotive']"
40,40,"[' Nightlife', 'Food', ' Breweries', ' Beer Gardens', 'American (Traditional)', ' Restaurants', 'Bars', ' Arts & Entertainment', 'Museums']"
41,41,"['Steakhouses', 'American (Traditional)', ' Restaurants', 'Bars', ' Nightlife', ' American (Traditional)', ' Sports Bars', ' Buffets', 'American (New)', ' Barbeque']"
