,business_id,review_count,stars,categories,city,state,full_address,latitude,longitude,name,attributes[Alcohol],attributes[Ambience][casual],attributes[Ambience][classy],attributes[Ambience][divey],attributes[Ambience][hipster],attributes[Ambience][intimate],attributes[Ambience][romantic],attributes[Ambience][touristy],attributes[Ambience][trendy],attributes[Ambience][upscale],attributes[Delivery],neighborhoods,open
0,0zO219KZJf-5QsRNRMmELQ,3,2.0,[],Pittsburgh,PA,"3116 Banksville Rd
Banksville
Pittsburgh, PA 15216",40.4003873,-80.0440153,Pennzoil 10 Minute Oil Change Center,,,,,,,,,,,,[Banksville],True
1,13aQBVZEbO5MzGrmDJ0IVw,20,4.0,"[Food, Bubble Tea, Coffee & Tea]",Pittsburgh,PA,"3800 Forbes Ave
Oakland
Pittsburgh, PA 15213",40.4415422065,-79.9568209572,Fuku Tea,,,,,,,,,,,,[Oakland],True
2,3zgswf_NfBJpeAoWeTkgMA,52,4.0,"[Pubs, Bars, American (Traditional), Nightlife, Restaurants]",Pittsburgh,PA,"5135 Liberty Ave
Bloomfield
Pittsburgh, PA 15224",40.458267,-79.942274,Silky's Pub,full_bar,True,False,False,False,False,False,False,False,False,False,[Bloomfield],True
3,4S5CdZawGJfP3vtR4eAQ1g,61,3.5,"[Hotels & Travel, Event Planning & Services, Hotels]",Pittsburgh,PA,"One Bigelow Square
Downtown
Pittsburgh, PA 15219",40.4404302,-79.9948801,Doubletree By Hilton Hotel & Suites - Pittsburgh,,,,,,,,,,,,[Downtown],True
4,9lRJhLrLOgh0ZGhqsjBmLA,3,5.0,"[Museums, Arts & Entertainment]",Chateau,PA,"1 Allegheny Ave
North Side
Chateau, PA 15212",40.4456892967,-80.018228148,Miniature Railroad & Village,,,,,,,,,,,,[North Side],True
5,FsY-8nYOCXyj9FoVxbjzTQ,6,3.0,"[Bars, Gay Bars, Nightlife]",Pittsburgh,PA,"1740 Eckert St.
North Side
Pittsburgh, PA 15212",40.471965,-80.037607,Pegasus Lounge,full_bar,,,,,,,,,,,[North Side],False
6,H27egCbna1FH8X8HFpLD_A,9,2.0,"[Tires, Automotive, Auto Repair, Oil Change Stations]",Pittsburgh,PA,"1050 Freeport Road
Pittsburgh, PA 15238",40.4869686,-79.8848614,Mr Tire Auto Service Centers,,,,,,,,,,,,[],True
7,IBQ-URinASf2z7_2Yt_LNg,3,5.0,"[Active Life, Pilates, Fitness & Instruction]",Pittsburgh,PA,"835 Western Ave
North Side
Pittsburgh, PA 15233",40.45177,-80.016201,Physique Rx'd,,,,,,,,,,,,[North Side],True
8,JEiSU3Kv6ZaS2y3AyT7_OA,8,4.5,"[Fast Food, Pizza, Restaurants]",Carnegie,PA,"38 E Main
Carnegie
Carnegie, PA 15106",40.4072133,-80.086786,Sunset Pizza & Grille,,,,,,,,,,,True,[Carnegie],True
9,Mj7OA90Rx8Ts5G96X5pHCw,3,5.0,"[Hair Salons, Day Spas, Nail Salons, Beauty & Spas]",Pittsburgh,PA,"429 Forbes Ave
Ste 505
Downtown
Pittsburgh, PA 15219",40.4391874,-79.9979013,Alta Villa Spa & Salon,,,,,,,,,,,,[Downtown],True
10,P9zs1E1Z4JqIR-zPmD1URw,66,4.0,"[Pubs, Bars, Nightlife, Dance Clubs]",Lawrenceville,PA,"4421 Butler St
Lawrenceville
Lawrenceville, PA 15201",40.4721491,-79.95953,New Amsterdam,full_bar,False,False,False,True,False,False,False,False,False,,[Lawrenceville],True
11,SzHTdZR3yY1WBYUxkVxmUQ,18,3.0,"[Restaurants, Italian]",Pittsburgh,PA,"212 Blvd of the Allies
Downtown
Pittsburgh, PA 15222",40.4389116,-80.0032374,Papa J's Centro,full_bar,False,False,False,False,False,False,False,False,False,False,[Downtown],False
12,cF0FbO-Jzcc9-jJa6qcwPA,8,4.5,"[Shopping, Home & Garden, Antiques, Furniture Stores]",Pittsburgh,PA,"4108 Butler St
Lawrenceville
Pittsburgh, PA 15201",40.469577,-79.960824,Dandelions,,,,,,,,,,,,[Lawrenceville],True
13,d7X102hxjbTeWVhQVdh64g,25,4.5,"[Latin American, Mexican, Restaurants]",Pittsburgh,PA,"1542 Beechview Ave
Beechview
Pittsburgh, PA 15216",40.411087,-80.025049,El Milagro,none,True,False,False,False,False,False,False,False,False,False,[Beechview],True
14,gXUTqgRQ_ZzkG7qEpR6PBw,6,2.5,"[Food, Grocery]",Pittsburgh,PA,"3609 Forbes Ave
Oakland
Pittsburgh, PA 15213",40.4408964,-79.958095,Market On Forbes IGA,,,,,,,,,,,,[Oakland],True
15,o3i4gCHufzn2aMIQuxGlUw,3,3.0,"[Shopping, Arts & Crafts, Gift Shops, Event Planning & Services, Cards & Stationery, Flowers & Gifts]",Pittsburgh,PA,"300 Mount Lebanon Blvd
Ste 13
Pittsburgh, PA 15234",40.368716,-80.034629,Hall Of Cards,,,,,,,,,,,,[],True
16,s9HAozHThsCqZGTMkgtNlg,5,5.0,"[Hotels & Travel, Limos, Transportation]",Pittsburgh,PA,"Downtown
Pittsburgh, PA 15222",40.4405143828,-80.0024731563,Pittsburgh Black Car,,,,,,,,,,,,[Downtown],True
17,xQYa2C1-tKGx65GpDDNePQ,18,3.5,"[Food, Coffee & Tea]",Pittsburgh,PA,"3618 Forbes Ave
Oakland
Pittsburgh, PA 15213",40.4408753,-79.957545,Starbucks,,,,,,,,,,,,[Oakland],True
18,B2ORp5G1QxI0e0n1UiG0UQ,5,3.0,"[Bars, Nightlife]",Pittsburgh,PA,"7 E Carson St
South Side
Pittsburgh, PA 15219",40.432298,-80.0030208,Bar Room,,,,,,,,,,,,[South Side],False
19,Cko88SO9YEsg8jZEXke81w,25,3.0,"[Indian, Restaurants]",Pittsburgh,PA,"4519 Centre Ave
Oakland
Pittsburgh, PA 15213",40.4517965,-79.9527148,Tandoor Indian Grill,none,False,False,False,False,False,False,False,False,,True,[Oakland],False
20,Dnw4OKO_qag-X1DOD4Dv7w,3,3.5,"[Local Services, Furniture Reupholstery, Shopping, Home & Garden, Carpet Cleaning]",Pittsburgh,PA,"1001 Constance St
North Side
Pittsburgh, PA 15212",40.4571957,-79.9945941,North Side Carpet Cleaning Company,,,,,,,,,,,,[North Side],True
21,EnlnNZx1DlO_pTwf1NU4wg,60,4.5,"[Museums, Arts & Entertainment]",Pittsburgh,PA,"4400 Forbes Ave
Oakland
Pittsburgh, PA 15213",40.4435096,-79.9495912,Carnegie Museum of Natural History,,,,,,,,,,,,[Oakland],True
22,HErV4BkgIDW0KKr8Jxrpyw,8,4.0,"[Mexican, Restaurants]",Pittsburgh,PA,"111 Smitfield St
Downtown
Pittsburgh, PA 15222",40.4375839233,-80.0004425049,Vicky's Mexican Restaurant,none,True,False,False,False,False,False,False,False,False,False,[Downtown],False
23,KEzIorUdFjqCuxbRxKPghA,8,4.0,"[Pizza, Restaurants]",Pittsburgh,PA,"433 Wood St
Downtown
Pittsburgh, PA 15222",40.4403955,-80.0010018,Mamma Lucia Pizza,none,False,False,False,False,False,False,False,False,False,True,[Downtown],True
24,NFO5GY2UYZ-OKXroJLDkKA,8,2.0,"[Banks & Credit Unions, Financial Services]",Pittsburgh,PA,"53 S 10th St
South Side
Pittsburgh, PA 15203",40.42918,-79.988274,Riverset Credit Union,,,,,,,,,,,,[South Side],True
25,NfHxV49mtVRq8enjdq1CeQ,16,4.0,"[Shopping, Jewelry, Antiques]",Pittsburgh,PA,"238 Freeport Rd
Pittsburgh, PA 15238",40.492457,-79.863376,Marlene Harris Collection,,,,,,,,,,,,[],True
26,UkylGV_aI3RCZJa9pHL0ag,4,5.0,"[Health & Medical, Dentists, General Dentistry]",Pittsburgh,PA,"4730 Clairton Blvd
Pittsburgh, PA 15236",40.353459,-79.979003,"Smiga Steven I, DMD",,,,,,,,,,,,[],True
27,V1MrrhkHkKFQc2dhl8hi6w,9,4.5,"[Active Life, Parks]",Pittsburgh,PA,"499 Bailey Ave
Allentown
Pittsburgh, PA 15211",40.4273815453,-79.9973344803,Grandview Park,,,,,,,,,,,,[Allentown],True
28,XtQgLRofbvrivJyinGZtkQ,33,3.5,"[Fast Food, Mexican, Restaurants]",Pittsburgh,PA,"4800 Baum Blvd
Bloomfield
Pittsburgh, PA 15213",40.4541927,-79.9473993,Chipotle Mexican Grill,none,True,False,False,False,False,False,False,False,False,False,[Bloomfield],True
29,Xti2_Z_gRSxsehYmY2JNbA,4,3.5,"[Local Services, Dry Cleaning & Laundry, Carpet Cleaning]",Pittsburgh,PA,"5850 Forward Ave
Squirrel Hill
Pittsburgh, PA 15217",40.4293745,-79.9220431,Lord Duncan Cleaners,,,,,,,,,,,,[Squirrel Hill],True
30,_7lfqYwzjAqWV6fUCWXP_Q,5,4.5,"[Food, Coffee & Tea]",Pittsburgh,PA,"1027 Freeport Rd
Pittsburgh, PA 15238",40.4879566436,-79.8854012403,Caribou Coffee,,,,,,,,,,,,[],False
31,k_YKbdDeNIETkjKi-cAN-A,3,3.0,"[Arts & Crafts, Shopping]",Pittsburgh,PA,"301 Beverly Rd
Pittsburgh, PA 15216",40.388507,-80.049572,Heckman Lee Custom Framing & Gallery,,,,,,,,,,,,[],True
32,o3ljI0O6uFgsvTT4QM_LLw,5,3.0,"[Pizza, Sandwiches, Restaurants]",Munhall,PA,"601 Longfellow Dr
Homestead
Munhall, PA 15120",40.388227,-79.912987,Original Ray's Pizza,,,,,,,,,,,,[Homestead],True
33,ovIUSeYR4kncxyv86D6QPA,24,4.0,"[Sandwiches, Restaurants]",Pittsburgh,PA,"217 9th St
Downtown
Pittsburgh, PA 15222",40.4430495,-79.9979345,Sammy's Famous Corned Beef,full_bar,False,False,True,False,False,False,False,False,False,False,[Downtown],True
