"","business_id","lat","lon","clusters"
"1","01a4YOjiBbPUBxvgX6F7VQ",40.38177,-80.045186,1
"2","04ogq23JnzauhezrWEXG_g",40.4215163,-80.0297296,2
"3","06SQoq5EV4XAY-yKrEtCQg",40.4432268,-80.0048354,3
"4","079g3KpS_7j_Zw53JmD9Vg",40.451096,-79.9332613,4
"5","08Z2A6u4kmaAZYeecwA4qw",40.4580766,-80.0098045,5
"6","08arvIeYVIi4leIuFGhXBw",40.4869364,-80.0546277,6
"7","08lbwQLMLaZNHRGIo5WJtQ",40.4518862781,-79.9519313872,7
"8","09r7xwM1OTEM2hnAM8WPFA",40.441879,-79.9568891,8
"9","0DlGOTI4xXLgF2eEm_E82Q",40.4485641,-80.0046163,9
"10","0E72Z_84LMrqLFAEJ276pA",40.4817524053,-79.8504889011,10
"11","0FgwBx7pgmNdUtsd_T8UYQ",40.4394267,-80.0038037,3
"12","0FmWly56nUTg60-b5k0gTQ",40.4404781,-80.0017838,3
"13","0GdTpvzrpDWDPiHP3G6Fuw",40.446587,-79.902277,11
"14","0H8Xo8XtA6GkSI2hAF0LKw",40.454755,-79.954216,12
"15","0IKwgLg_UApkFzMCAaJ1Lw",40.4378475933,-79.9228814523,13
"16","0Ir2L-nWFFQP3jB7fnWTuw",40.357213,-80.0520951,14
"17","0JGXnhfU1IpJrs3D8qtQcA",40.4409475,-80.0010569,3
"18","0Lsd35rHY6UtPFHjjxJ1LA",40.441207,-80.0031108,3
"19","0MMksZmyQKBcb0PNi4LdTg",40.4618664,-79.9485971,7
"20","0MmjeVacAd-Moe8CesiB_Q",40.4309939,-80.0016432,15
"21","0MoMka1ixKRuyFhTtDVT0A",40.3804062,-80.0442629,1
"22","0NcAGBrIXSde76VNgtSj6g",40.428995,-79.984827,16
"23","0O5yuql5sNG1L_bpHb553g",40.394962,-80.022204,17
"24","0ORPehdGZci1Z_BTKe_5VA",40.4439496,-79.9964366,3
"25","0OXrM5rp0dT8DcxqQJMBXw",40.4524945,-79.9815516,18
"26","0Ov1O2Gd0dwjkSaj5NJbhg",40.4456730867,-80.0175065054,19
"27","0QkkNagJaWllynycTF-fRQ",40.4513619074,-79.93359755,4
"28","0RouCAPnQtD7W7zAl3mDqg",40.402817,-80.0932739,20
"29","0TvxDhCKPQ-_dDyffEnJQQ",40.4502135,-79.9143225,21
"30","0V7lC5Xr9dVFbjXpXFbeow",40.459956,-79.92427,7
"31","0WZ4-uFX5olbCYGSOO6C6Q",40.394049,-80.0356606,22
"32","0_BIIfLeB9DEG8Tss6bZQQ",40.4217977,-79.8904336,23
"33","0ayh3LxJwSbJEOlBCx9APA",40.4444445,-79.996451,3
