,business_id,clusters,after_Jan2010_count,after_Jan2014_count,after_Jun2014_count,after_Jan2015_count,ratings_avg,users_sum,categories,city,state,name,review_count,stars,latitude,longitude,attributes[Alcohol],attributes[Ambience][casual],attributes[Ambience][classy],attributes[Ambience][divey],attributes[Ambience][hipster],attributes[Ambience][intimate],attributes[Ambience][romantic],attributes[Ambience][touristy],attributes[Ambience][trendy],attributes[Ambience][upscale],attributes[Delivery],neighborhoods,open,regression_value,weighted_regression_value
0,0zO219KZJf-5QsRNRMmELQ,1,1,1,1,1,1,1,[],Pittsburgh,PA,Pennzoil 10 Minute Oil Change Center,3,2,40.4003873,-80.0440153,,,,,,,,,,,,[Banksville],TRUE,6,1
1,3zgswf_NfBJpeAoWeTkgMA,3,39,13,8,4,3.673221059,54.925,"[Pubs, Bars, American (Traditional), Nightlife, Restaurants]",Pittsburgh,PA,Silky's Pub,52,4,40.458267,-79.942274,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Bloomfield],TRUE,208,201.7516667
2,4S5CdZawGJfP3vtR4eAQ1g,4,53,18,16,7,3.678944583,110.225,"[Hotels & Travel, Event Planning & Services, Hotels]",Pittsburgh,PA,Doubletree By Hilton Hotel & Suites - Pittsburgh,61,3.5,40.4404302,-79.9948801,,,,,,,,,,,,[Downtown],TRUE,213.5,405.5116667
3,9lRJhLrLOgh0ZGhqsjBmLA,5,3,2,2,1,5,13.61,"[Museums, Arts & Entertainment]",Chateau,PA,Miniature Railroad & Village,3,5,40.4456893,-80.01822815,,,,,,,,,,,,[North Side],TRUE,15,68.05
4,FsY-8nYOCXyj9FoVxbjzTQ,6,3,1,1,0,2.986005401,6.788333333,"[Bars, Gay Bars, Nightlife]",Pittsburgh,PA,Pegasus Lounge,6,3,40.471965,-80.037607,full_bar,,,,,,,,,,,[North Side],FALSE,18,20.27
5,H27egCbna1FH8X8HFpLD_A,7,9,5,5,1,2.673559612,11.68666667,"[Tires, Automotive, Auto Repair, Oil Change Stations]",Pittsburgh,PA,Mr Tire Auto Service Centers,9,2,40.4869686,-79.8848614,,,,,,,,,,,,[],TRUE,18,31.24500001
6,IBQ-URinASf2z7_2Yt_LNg,8,3,2,2,2,5,2.82,"[Active Life, Pilates, Fitness & Instruction]",Pittsburgh,PA,Physique Rx'd,3,5,40.45177,-80.016201,,,,,,,,,,,,[North Side],TRUE,15,14.1
7,JEiSU3Kv6ZaS2y3AyT7_OA,9,7,3,3,2,3.600168587,11.86333333,"[Fast Food, Pizza, Restaurants]",Carnegie,PA,Sunset Pizza & Grille,8,4.5,40.4072133,-80.086786,,,,,,,,,,,TRUE,[Carnegie],TRUE,36,42.70999999
8,Mj7OA90Rx8Ts5G96X5pHCw,4,2,1,1,1,5,1.993333333,"[Hair Salons, Day Spas, Nail Salons, Beauty & Spas]",Pittsburgh,PA,Alta Villa Spa & Salon,3,5,40.4391874,-79.9979013,,,,,,,,,,,,[Downtown],TRUE,15,9.966666665
9,P9zs1E1Z4JqIR-zPmD1URw,10,61,17,11,3,3.811346586,91.305,"[Pubs, Bars, Nightlife, Dance Clubs]",Lawrenceville,PA,New Amsterdam,66,4,40.4721491,-79.95953,full_bar,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,[Lawrenceville],TRUE,264,347.995
10,SzHTdZR3yY1WBYUxkVxmUQ,4,17,0,0,0,3.263279644,19.45333333,"[Restaurants, Italian]",Pittsburgh,PA,Papa J's Centro,18,3,40.4389116,-80.0032374,full_bar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Downtown],FALSE,54,63.48166666
11,cF0FbO-Jzcc9-jJa6qcwPA,10,5,2,2,1,4.04196789,17.75166667,"[Shopping, Home & Garden, Antiques, Furniture Stores]",Pittsburgh,PA,Dandelions,8,4.5,40.469577,-79.960824,,,,,,,,,,,,[Lawrenceville],TRUE,36,71.75166667
12,d7X102hxjbTeWVhQVdh64g,11,21,9,6,2,4.645886344,23.58,"[Latin American, Mexican, Restaurants]",Pittsburgh,PA,El Milagro,25,4.5,40.411087,-80.025049,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[Beechview],TRUE,112.5,109.55
13,gXUTqgRQ_ZzkG7qEpR6PBw,2,6,2,2,0,2.886056028,15.885,"[Food, Grocery]",Pittsburgh,PA,Market On Forbes IGA,6,2.5,40.4408964,-79.958095,,,,,,,,,,,,[Oakland],TRUE,15,45.845
