,lhs,,rhs,support,confidence,lift
74,Pubs,=>,Nightlife,0.023423423,0.866666667,8.745454545
249,"American (New),Bars",=>,Nightlife,0.021621622,0.923076923,9.314685315
63,"Hotels""",=>,&,0.014414414,1,12.61363636
72,Wine & Spirits,=>,Beer,0.014414414,0.8,37
73,Fitness & Instruction,=>,Gyms,0.014414414,0.8,34.15384615
226,"Bars,Pubs",=>,Nightlife,0.014414414,0.888888889,8.96969697
64,Planning,=>,Event,0.012612613,1,69.375
65,Event,=>,Planning,0.012612613,0.875,69.375
66,Planning,=>,Services,0.012612613,1,27.75
68,Stations,=>,Automotive,0.012612613,1,15.41666667
69,Event,=>,Services,0.012612613,0.875,24.28125
146,"Event,Planning",=>,Services,0.012612613,1,27.75
147,"Planning,Services",=>,Event,0.012612613,1,69.375
148,"Event,Services",=>,Planning,0.012612613,1,79.28571429
237,"American (Traditional),Nightlife",=>,Bars,0.012612613,0.777777778,9.592592593
70,Sports Bars,=>,Nightlife,0.010810811,0.857142857,8.649350649
71,Ice Cream & Frozen Yogurt,=>,Food,0.010810811,0.75,6.9375
224,"American (New),Pubs",=>,Bars,0.010810811,1,12.33333333
225,"American (New),Pubs",=>,Nightlife,0.010810811,1,10.09090909
256,"Bars,Food",=>,Nightlife,0.010810811,0.857142857,8.649350649
345,"American (New),Bars,Pubs",=>,Nightlife,0.010810811,1,10.09090909
346,"American (New),Nightlife,Pubs",=>,Bars,0.010810811,1,12.33333333
347,"Bars,Nightlife,Pubs",=>,American (New),0.010810811,0.75,13.42741935
7,"Hotels & Travel""",=>,Event Planning & Services,0.009009009,0.833333333,17.12962963
37,Health,=>,Medical,0.009009009,0.833333333,77.08333333
38,Medical,=>,Health,0.009009009,0.833333333,77.08333333
67,Caterers,=>,Event Planning & Services,0.009009009,0.833333333,17.12962963
194,"(Traditional),Nightlife",=>,American,0.009009009,0.833333333,25.69444444
235,"Bars,Breakfast & Brunch",=>,Nightlife,0.009009009,1,10.09090909
254,"Bars,Pizza",=>,Nightlife,0.009009009,1,10.09090909
4,"Repair""",=>,Auto,0.007207207,1,69.375
13,Spas,=>,Beauty,0.007207207,1,79.28571429
39,Estate,=>,Real,0.007207207,1,111
40,Real,=>,Estate,0.007207207,0.8,111
41,"(Traditional)""",=>,Restaurants,0.007207207,0.8,5.414634146
42,Specialty Food,=>,Food,0.007207207,1,9.25
47,Museums,=>,Arts & Entertainment,0.007207207,0.8,22.2
50,Gastropubs,=>,American (New),0.007207207,1,17.90322581
52,Gastropubs,=>,Nightlife,0.007207207,1,10.09090909
53,Trainers,=>,Gyms,0.007207207,0.8,34.15384615
55,Service,=>,&,0.007207207,1,12.61363636
56,Dry,=>,Laundry,0.007207207,1,138.75
57,Laundry,=>,Dry,0.007207207,1,138.75
116,"American (New),Gastropubs",=>,Nightlife,0.007207207,1,10.09090909
117,"Gastropubs,Nightlife",=>,American (New),0.007207207,1,17.90322581
132,"Hotels"",Planning",=>,Event,0.007207207,1,69.375
133,"Event,Hotels""",=>,Planning,0.007207207,1,79.28571429
134,"Hotels"",Planning",=>,Services,0.007207207,1,27.75
135,"Hotels"",Services",=>,Planning,0.007207207,1,79.28571429
136,"Hotels"",Planning",=>,&,0.007207207,1,12.61363636
137,"&,Planning",=>,"Hotels""",0.007207207,1,69.375
138,"Event,Hotels""",=>,Services,0.007207207,1,27.75
139,"Hotels"",Services",=>,Event,0.007207207,1,69.375
140,"Event,Hotels""",=>,&,0.007207207,1,12.61363636
141,"&,Event",=>,"Hotels""",0.007207207,1,69.375
144,"Hotels"",Services",=>,&,0.007207207,1,12.61363636
149,"&,Planning",=>,Event,0.007207207,1,69.375
150,"&,Event",=>,Planning,0.007207207,1,79.28571429
151,"&,Planning",=>,Services,0.007207207,1,27.75
154,"&,Stations",=>,Automotive,0.007207207,1,15.41666667
158,"&,Event",=>,Services,0.007207207,1,27.75
159,"Bars,Sports Bars",=>,Nightlife,0.007207207,0.8,8.072727273
164,"Bars"",Restaurants",=>,Nightlife,0.007207207,1,10.09090909
165,"Burgers,Restaurants""",=>,Fast,0.007207207,0.8,44.4
166,"Fast,Food",=>,Burgers,0.007207207,1,32.64705882
167,"Burgers,Food",=>,Fast,0.007207207,0.8,44.4
168,"Fast,Restaurants",=>,Burgers,0.007207207,1,32.64705882
169,"Burgers,Restaurants",=>,Fast,0.007207207,0.8,44.4
184,"Hotels,Hotels & Travel",=>,Event Planning & Services,0.007207207,0.8,16.44444444
185,"Event Planning & Services,Hotels",=>,Hotels & Travel,0.007207207,1,39.64285714
190,"(Traditional),Bars",=>,American,0.007207207,0.8,24.66666667
191,"American,Bars",=>,(Traditional),0.007207207,1,46.25
196,"(Traditional),Bars",=>,Nightlife,0.007207207,0.8,8.072727273
197,"(Traditional),Restaurants",=>,Nightlife,0.007207207,0.8,8.072727273
202,"Beer,Food",=>,Wine & Spirits,0.007207207,0.8,44.4
214,"Gyms,Restaurants",=>,Active Life,0.007207207,1,30.83333333
215,"American (Traditional),Nightlife""",=>,Bars,0.007207207,1,12.33333333
221,"Breakfast & Brunch,Pubs",=>,Nightlife,0.007207207,1,10.09090909
228,"Pubs,Restaurants",=>,Nightlife,0.007207207,1,10.09090909
229,"Diners,Food",=>,Breakfast & Brunch,0.007207207,1,26.42857143
244,"American (New),Coffee & Tea",=>,Food,0.007207207,1,9.25
245,"Bars,Coffee & Tea",=>,Nightlife,0.007207207,1,10.09090909
293,"Event,Hotels"",Planning",=>,Services,0.007207207,1,27.75
294,"Hotels"",Planning,Services",=>,Event,0.007207207,1,69.375
295,"Event,Hotels"",Services",=>,Planning,0.007207207,1,79.28571429
296,"Event,Hotels"",Planning",=>,&,0.007207207,1,12.61363636
