,business_id,after_Jan2010_count,after_Jan2014_count,after_Jun2014_count,after_Jan2015_count,ratings_avg_x,users_sum_x,review_count,stars,categories,city,state,full_address,latitude,longitude,name,attributes[Alcohol],attributes[Ambience][casual],attributes[Ambience][classy],attributes[Ambience][divey],attributes[Ambience][hipster],attributes[Ambience][intimate],attributes[Ambience][romantic],attributes[Ambience][touristy],attributes[Ambience][trendy],attributes[Ambience][upscale],attributes[Delivery],neighborhoods,open,users_sum_y,ratings_avg_y
0,01a4YOjiBbPUBxvgX6F7VQ,4,2,2,0,5.0,3.81,3,5.0,"[Acupuncture, Traditional Chinese Medicine, Health & Medical]",Pittsburgh,PA,"20 Cedar Blvd
Ste 301
Pittsburgh, PA 15228",40.38177,-80.045186,Chinese Acupuncture & Herbs Center LLC,,,,,,,,,,,,[],True,753.435,4.065816339
1,04ogq23JnzauhezrWEXG_g,41,12,9,3,3.927010863,68.275,48,4.0,"[Caterers, Event Planning & Services, Barbeque, Restaurants]",Pittsburgh,PA,"1000 Banksville Rd
Banksville
Pittsburgh, PA 15216",40.4215163,-80.0297296,Pittsburgh Barbecue Company,none,True,False,False,False,False,False,False,False,False,False,[Banksville],True,753.435,4.065816339
2,06SQoq5EV4XAY-yKrEtCQg,4,1,0,0,3.937124005,8.588333333,5,3.0,"[Hotels & Travel, Car Rental]",Pittsburgh,PA,"625 Stanwix St
Downtown
Pittsburgh, PA 15222",40.4432268,-80.0048354,Avis Rent A Car,,,,,,,,,,,,[Downtown],True,133.095,3.177304432
3,079g3KpS_7j_Zw53JmD9Vg,67,20,14,5,3.817626953,136.5333333,74,3.5,"[American (Traditional), Restaurants]",Pittsburgh,PA,"5744 12nd ellsworth Ave
Shadyside
Pittsburgh, PA 15232",40.451096,-79.9332613,1947 Tavern,full_bar,False,False,False,False,False,False,False,True,False,False,[Shadyside],True,79.18166667,4.12646025
4,08Z2A6u4kmaAZYeecwA4qw,18,7,6,5,4.970899214,34.36333333,19,5.0,"[Arts & Entertainment, Art Galleries, Shopping]",Pittsburgh,PA,"1501 Arch St
North Side
Pittsburgh, PA 15212",40.4580766,-80.0098045,Randyland,,,,,,,,,,,,[North Side],True,56.81,3.672475503
5,08arvIeYVIi4leIuFGhXBw,16,11,10,5,4.628873239,21.3,16,4.5,"[Tires, Automotive]",Pittsburgh,PA,"255 Grant Ave
Bellevue
Pittsburgh, PA 15202",40.4869364,-80.0546277,Discount Tire Center,,,,,,,,,,,,[Bellevue],True,11.08833333,4.573275214
6,08lbwQLMLaZNHRGIo5WJtQ,7,7,6,1,2.961169908,23.30666667,7,3.0,"[Shopping, Drugstores]",Pittsburgh,PA,"4610 Centre Ave
Oakland
Pittsburgh, PA 15213",40.4518862781,-79.9519313872,CVS Pharmacy,,,,,,,,,,,,[Oakland],True,753.435,4.065816339
7,09r7xwM1OTEM2hnAM8WPFA,42,17,16,7,3.02821459,58.71666667,50,3.0,"[Italian, Comfort Food, Asian Fusion, Restaurants]",Oakland,PA,"3805 Forbes Ave
Oakland
Oakland, PA 15213",40.441879,-79.9568891,Noodles & Company,none,True,False,False,False,False,False,False,False,False,False,[Oakland],True,208.99,3.938123036
8,0DlGOTI4xXLgF2eEm_E82Q,29,10,6,2,3.672475503,56.81,33,3.5,"[Hotels & Travel, Event Planning & Services, Hotels]",Pittsburgh,PA,"223 Federal
North Side
Pittsburgh, PA 15212",40.4485641,-80.0046163,SpringHill Suites Marriott,,,,,,,,,,,,[North Side],True,68.275,3.927010863
9,0E72Z_84LMrqLFAEJ276pA,3,0,0,0,4.700803213,2.49,3,4.5,"[Tobacco Shops, Shopping]",Verona,PA,"139 Sandy Creek Rd
Verona, PA 15147",40.4817524053,-79.8504889011,The Cigar House,,,,,,,,,,,,[],True,271.41,4.078829078
