"","clusters","regression_value","after_Jan2010_count","after_Jan2014_count","after_Jun2014_count","after_Jan2015_count","weighted_regression_value","ratings_avg","users_sum"
"2060",4,102,27,11,11,5,118.3683333,3.049158509,38.82
"2285",47,94.5,19,4,3,1,92.98333335,4.313437452,21.55666667
"2073",112,4.5,1,1,1,1,6,2,3
"1516",4,393,118,32,30,15,594.9033333,3.28403717,181.15
"822",25,40.5,7,5,3,0,31.725,4.565843128,6.948333333
"3120",3,30,6,2,2,0,30.49166667,5,6.098333333
"1764",168,184.5,32,9,7,4,209.335,4.529753318,46.21333333
"1574",344,12,4,1,1,0,31.61833333,4.60461165,6.866666667
"1221",13,13.5,2,0,0,0,31.04166667,5,6.208333333
"617",32,220,47,15,11,6,446.755,3.906225409,114.37
"3205",540,21,6,1,1,1,23.69333334,3.371916509,7.026666667
"90",19,165,43,10,8,5,190.8916667,3.027623579,63.05
"3061",25,259,67,20,14,5,521.2333332,3.817626953,136.5333333
"2232",32,27,6,0,0,0,35.405,4.718569525,7.503333333
"3540",90,12,4,4,4,4,16.66666667,1.724137931,9.666666667
"697",192,36,9,2,2,0,43.39166665,3.996162701,10.85833333
"263",3,6,3,2,2,1,6.439999999,1.72885906,3.725
"3124",168,14,3,3,1,1,7.714999999,2.745551601,2.81
"1399",32,969.5,229,65,42,18,1370.485,3.808542567,359.845
"2563",464,36,9,4,4,2,44.62333334,3.669682018,12.16
"1854",377,15,3,0,0,0,7.260000001,2.830409357,2.565
"509",4,84,22,8,7,6,184.565,3.712212128,49.71833333
"1657",4,85.5,18,10,10,8,176.8,4.226968441,41.82666667
"3400",73,94.5,25,3,3,3,109.6666666,3.615384615,30.33333333
"1996",4,9,2,0,0,0,52.5,3,17.5
"1200",287,14,4,1,1,0,19.01833333,3.856370395,4.931666667
"234",4,103.5,23,14,12,8,109.9916667,4.74136073,23.19833333
"1427",181,14,3,1,0,0,17.37166667,3.671363156,4.731666667
"2450",2,12,9,4,2,0,21.69166668,1.970775288,11.00666667
"2856",505,30,6,5,5,0,49.29166667,5,9.858333333
"3084",19,499.5,100,34,27,16,602.4266669,4.138351099,145.5716667
