"","business_id","latitude","longitude","clusters"
"1","0zO219KZJf-5QsRNRMmELQ",40.4003873,-80.0440153,1
"2","13aQBVZEbO5MzGrmDJ0IVw",40.4415422065,-79.9568209572,2
"3","3zgswf_NfBJpeAoWeTkgMA",40.458267,-79.942274,3
"4","4S5CdZawGJfP3vtR4eAQ1g",40.4404302,-79.9948801,4
"5","9lRJhLrLOgh0ZGhqsjBmLA",40.4456892967,-80.018228148,5
"6","FsY-8nYOCXyj9FoVxbjzTQ",40.471965,-80.037607,6
"7","H27egCbna1FH8X8HFpLD_A",40.4869686,-79.8848614,7
"8","IBQ-URinASf2z7_2Yt_LNg",40.45177,-80.016201,8
"9","JEiSU3Kv6ZaS2y3AyT7_OA",40.4072133,-80.086786,9
"10","Mj7OA90Rx8Ts5G96X5pHCw",40.4391874,-79.9979013,4
"11","P9zs1E1Z4JqIR-zPmD1URw",40.4721491,-79.95953,10
"12","SzHTdZR3yY1WBYUxkVxmUQ",40.4389116,-80.0032374,4
"13","cF0FbO-Jzcc9-jJa6qcwPA",40.469577,-79.960824,10
"14","d7X102hxjbTeWVhQVdh64g",40.411087,-80.025049,11
"15","gXUTqgRQ_ZzkG7qEpR6PBw",40.4408964,-79.958095,2
"16","o3i4gCHufzn2aMIQuxGlUw",40.368716,-80.034629,12
"17","s9HAozHThsCqZGTMkgtNlg",40.4405143828,-80.0024731563,4
"18","xQYa2C1-tKGx65GpDDNePQ",40.4408753,-79.957545,2
"19","B2ORp5G1QxI0e0n1UiG0UQ",40.432298,-80.0030208,13
"20","Cko88SO9YEsg8jZEXke81w",40.4517965,-79.9527148,3
"21","Dnw4OKO_qag-X1DOD4Dv7w",40.4571957,-79.9945941,14
"22","EnlnNZx1DlO_pTwf1NU4wg",40.4435096,-79.9495912,2
"23","HErV4BkgIDW0KKr8Jxrpyw",40.4375839233,-80.0004425049,4
"24","KEzIorUdFjqCuxbRxKPghA",40.4403955,-80.0010018,4
"25","NFO5GY2UYZ-OKXroJLDkKA",40.42918,-79.988274,15
"26","NfHxV49mtVRq8enjdq1CeQ",40.492457,-79.863376,16
"27","UkylGV_aI3RCZJa9pHL0ag",40.353459,-79.979003,17
"28","V1MrrhkHkKFQc2dhl8hi6w",40.4273815453,-79.9973344803,18
"29","XtQgLRofbvrivJyinGZtkQ",40.4541927,-79.9473993,3
"30","Xti2_Z_gRSxsehYmY2JNbA",40.4293745,-79.9220431,19
"31","_7lfqYwzjAqWV6fUCWXP_Q",40.4879566436,-79.8854012403,7
"32","k_YKbdDeNIETkjKi-cAN-A",40.388507,-80.049572,20
"33","o3ljI0O6uFgsvTT4QM_LLw",40.388227,-79.912987,21
"34","ovIUSeYR4kncxyv86D6QPA",40.4430495,-79.9979345,4
"35","pMBxvWFY03Z95jNVUVWGwg",40.4290019,-79.9828,15
"36","qUJbCo-xJ9A4nE6nXMOwIg",40.4283162,-79.9727834,15
"37","ugAF3Hc9NPGl3SVx5ddG5g",40.4536756,-80.0004646,22
"38","wluhsOjt03CgORropJKQoA",40.439597,-80.00141,4
"39","zeMmyM8fGFM-0GL2ZOl5Og",40.434151,-79.862572,23
"40","znLLBvvY8Kv-8ZDESiPZzQ",40.4259393,-79.9806048,15
"41","30T84H-0b9-Ft0KqbpKmKQ",40.434190366,-79.9230114,19
"42","7vXcsbM_q5_QeGbqKaK6bg",40.4229632,-79.9285232,24
"43","GYyf9Fprhvsu4aA34YSCsQ",40.450952,-79.933592,25
