,user_id,business_id,lat_long
0,Qh5A5NlP4UVvddSasOYR4A,"{'NMLtK_ZDHTD_UQ33-A-N0A': 1, 'TxKmAsKQjND5vbhBdUSyIA': 1}","[[40.442146999999999, -79.956513000000001], [40.451582835799996, -79.932869838999991]]"
1,3PnGCrKLoEfrcCQteNd82g,"{'pzys59fEt1S8T_Ed0BRhvA': 1, 'Oet_iNNFm5XW9NCRrYKwOw': 1}","[[40.430889129599997, -80.001373291000007], [40.356544899999996, -79.896124]]"
2,31DYGPMWyWTxz8hIblHRYQ,{'diAEN3I9fXcZgNFpA5vz4g': 1},"[[40.442281399999999, -80.002061700000013]]"
3,zZACoxO7XbmuSWgBgbyBmQ,{'FZMQgCGGYDEXcQhZslAHxw': 1},"[[40.447182083600005, -80.021137938300001]]"
4,vDm_EUGvCImJ3KUyvEeVUw,{'Q4ULAiIE2qCA4RYplCTrUQ': 1},"[[40.450742200000001, -79.98553840000001]]"
5,tP5PcqDkiSaq40i4SDFWsg,"{'0ayh3LxJwSbJEOlBCx9APA': 1, 'bWWrrsPWuoHuAGUCgH8Tyg': 1, '9ylfrWjdX6CltGs_Qcv7Ng': 1, '1zKH87sjLpRr8XDKmk7j1g': 1}","[[40.444444500000003, -79.996451000000008], [40.444168100000006, -79.994852000000009], [40.447386670300006, -80.005324956599992], [40.443869299999996, -79.995512000000005]]"
6,FCyV-J4l7qdFNk_vrNgfYA,{'bY0BbE_PFWnRjf5j48CjKg': 1},"[[40.4380934, -79.953733299999996]]"
7,YtNglzrYRkRBbzPSepM5Dw,"{'9SPwF-vRgtuHxciFxv5YLA': 1, 'ezi5Nz0gT5lk0nW1KTiYnw': 1, 'rPwuIBv_mz1O_yI5R-VJ7Q': 1, '5V1K5DRpGrObijbtCuPbcg': 1, '6LbeU_OT1E5MP022PhExvQ': 1, '#NAME?': 1}",
8,4NAd2lUfGgV0n_nnvNmKlg,{'7TRfGMRjNEduIu7NT-B8Tg': 1},
9,J4SRgHqZb8ZrjYyplF76nw,"{'TC-uA4FLhphfRwR1O-9y3A': 1, 'VttoTCACG8MRWrh3bnKyPg': 1}",
10,btLEKdJjefbkeXsfdlfoWQ,{'wQ3klyJeDhIQUIZS2X5r7Q': 1},
11,jcBxYihKyYGwAN0oFTCAdA,{'l3ZH41X7rNxP2K75stSWvw': 1},
12,-tpnWLAFaSkPzRE-9sK3xA,"{'gwcfAXAUTj1Bq6YwnPKWlg': 1, 'R3Oe-NgQoAvXL5vyPw1qWg': 1, 'ncFpm5dUP8YpTTnMf5bs6A': 1}",
13,i_g-uGMjxFZY8fKC-_IS8Q,{'jSqhVWUquT3fGREmNdKdUA': 1},
14,dBkQKnHNZOyhtFoYNpGayA,"{'GARb9Hk4Y0YTjBl70DniVA': 1, 'AK5vEe8X2Ynoivau1B3RlA': 1}",
15,isErLvuyiIklMPoGmCLSnA,"{'4YSYFo4uzMOvxVb6VaSXDA': 1, 'pkVdp5NxNv_axHKGt0psRw': 1, 'jdCWPS_Gh2burgvscJd-MA': 1, '9hF1vOOkT-OMVhYwPCxtcw': 1}",
16,JEqkte1ehEUQasnRc32eQA,{'MyGH3O8q053OoJm5JikCRg': 1},
17,Jhq8AsZccqAWvfw6Dq2fWA,"{'TRLMm_deLvlPNmGNqRxcow': 1, '9ylfrWjdX6CltGs_Qcv7Ng': 1, '1zKH87sjLpRr8XDKmk7j1g': 1, 'gr6AoBJ5MEkZynXP_MHs1w': 2, '2K-XaFjaHUR8Dp6QAihITg': 1, 'FZMQgCGGYDEXcQhZslAHxw': 1, '8zdeaK3PWDsr5Kq4UOuNSw': 1, 'b686MZPPrVhnwYhhPZQdJA': 1, 'A38wziZJdYoijhC5S6uWCQ': 1, 'HDTv_rnmSL8AQ04_zTWARA': 1, 'Xk8Nd2X5nf13DunyEg-MGQ': 1, 'nDnbIOqoKSAG339g6D8OnA': 1, '9TOZic931NktWjVGftktJQ': 1, 'bWWrrsPWuoHuAGUCgH8Tyg': 1, '#NAME?': 1, 'v6HiAVLwKiXZ9Yqvd4ubNg': 1, 'vvPzcOhbQn5fLQUAIxcP6A': 2}",
18,JQgkc6GtXzTd6c6wODuXLw,"{'SxWpUJPBKpDwnt8DbVgVwQ': 1, 'VObVLPoRJjDiWXq9QSCtnw': 1, 'Dra-diHsNo-c-LzOpIwY8g': 1, '_k2nOJvhfNKUFa2i-DnlQQ': 2}",
19,gbAhKi-xIqSrP7qWdmu5Yw,{'znlAFULbORo5_FQmGeoCbg': 1},
20,Rc01EN1kI03YZjBgT77mMg,{'AlvGCHZX0n5puR9eZSZ4lg': 1},
21,_sp7NYb4qV7PcXIcOu0XrQ,{'bEpCq5dFv2xfGLEAnErV1w': 1},
22,_RW6U5wVVaAMPWFOXYlrrg,{'39zsyVps1bjZH-Seunc5OA': 1},
23,ImqwtKMEHZCkIEg_wOyJ6g,{'sJUKE6ffe5WU_9IKXuJxCw': 1},
24,2ft-ORIri49bRpfwFEr5QQ,"{'dVf7896SPwE8jEenEhI6Pg': 1, 'bwu0cUZfksuu-uzTPrrl2A': 1, 'TRLMm_deLvlPNmGNqRxcow': 1, 'UXlGymo9AduQcq-Q-H16og': 1, 'rcCGdKxMPJk4lCzZZ1i_bA': 1, 'EnlnNZx1DlO_pTwf1NU4wg': 1, 'niW0ggRVPW5fafcfImdK7w': 1, 'J4Y6BSwxGxD7mznM45ykeA': 1, 'rR_szXNwNQB-MgEoTElb8Q': 1, 'wc6MUrDdAtQLqKUDn4F0ew': 1, '9ylfrWjdX6CltGs_Qcv7Ng': 1, 'JrdoWznKY-OFmwCkv75P_A': 1, 'JiVDVmRPgt9sqZbxIzQnow': 1, 'lGJTErTf8Y72U4OLHhW65A': 1, '6eU9yPTTbf8PS8fMc4nmCg': 1, '#NAME?': 2, 'vtcEXiQukuSzOMxyVxlh-Q': 1, 'C4GHQTB-G0R2Geov298GLw': 1, '3wvt02K8Q4tZx0OImekCTg': 1}",
25,Ixh6D-PpyTyfSJmyDhGvtw,"{'Ca-003BAqWW-IEsFvjlY9g': 1, '8lTyozmJa3DhTVV8srdXIw': 1, 'sF8rL9XOz4v48YdTucaBGQ': 1, 'wiE3gpPOMJO-ujhmAUb73A': 1, 'q_BKmbdlYfQJroJVHfYMUQ': 1, '2Igiyhi82R8_QaaPplRmCw': 1, '6Ro5tqafcr2MZori8DIYnw': 1, 'IxQ1ATP_Wg_QujO9nywzcQ': 1, 'n3nOq4DudeEVhfaP5rdgDQ': 1, 'T49ZvBa6mD4xHSmjHe-ArA': 1}",
26,4YHZRAFKc89b9Xcy7GvJzw,{'NS5m7kg9phWfjP27qmxgYA': 1},
27,F4OuUe00G1XvQMTjIhyHVg,{'lgRLyicXByG1-W0QdsTopw': 1},
28,hytGYAm9o_fewnFwSLlwyw,"{'fARLAmHnEP8LScLd3zp-nA': 1, 'XNSw_YO1ziXE8ZVzEmXDAw': 1, 'AuQD43d9bgvxbFVZiwC0ig': 1, 'QF8aAgmMvwQsBKTUeq9_mg': 1, '7XXmky6YYjsvKFwho_eavg': 1, 'qKqld7dwt00qW938tRTSjA': 1, 'McHO_tvPofRkZVFpaZaWRA': 1, 'vgXE1I7c9ElcfYyZfQiN1Q': 1, '#NAME?': 1, 'o_wRqOpli9kyZGXlJtLLdA': 1}",
29,cqWHuWLBsnVZ672vMo9A7A,"{'V7r0F2kr1WlyNOBy-C_HMA': 1, 'gCiKiqPGAC_ZVt5bBcwnrw': 1, 'Dra-diHsNo-c-LzOpIwY8g': 1, '0h2My97xjAjc1pNrMM266Q': 1, 'pvmC7EaaSgA3aq-MAmPp3A': 1, 'v7e-GIGgEIFANhHsywlhrw': 1, 'NjWAVjMxUwOqnpOOQL71QA': 1, 'kj3qws3WSMgOotUeACSdFA': 1, '8Uwii38FoomPrXJhg6Hx5Q': 1, 'lHP5STO7aomlEQixH8m1aA': 1, 'l-s0rNwp_qccC2M4Phz9Yw': 1, 'oN552ZjtfJWV7CMtftGrfA': 1, 'cc4BvGK8eRu-fFE4GK3vSQ': 1, 'dGpmXpNSvVSnfB65UwfDtQ': 1, '3wvt02K8Q4tZx0OImekCTg': 1}",
30,wBWO3kPe4LZGTf4MN8P2bg,{'Dra-diHsNo-c-LzOpIwY8g': 1},
31,C40TxCLXmOD28KxxqkWY4A,{'#NAME?': 1},
32,JN7Oxs1uJV6YH-R1dO88bQ,{'5NcgSVx0fJFYManZSJyRQA': 1},
33,yDRaKzNCQs534yOK2lo0fA,"{'AK8T92URfkOUoTAVd7l2EA': 1, 'd3ni6cKglu4L3JeveOqQDQ': 1}",
34,GBSOk-2JkRyHJb3di2KesQ,"{'p1V2Jv5qdWVDVLpiQqGztQ': 1, 'Yj1EJ_HDLtw7wLcdpmaY9w': 1, 'JrdoWznKY-OFmwCkv75P_A': 1, 'CDuxCxTiuGXC6saLoywymQ': 1, 'cjD2yGRhT5yaSj_KP55Ptw': 1, 'vcZWlI0eHiGwlUfP-5Ov8Q': 1, '1uPTCXmcAVujpLs1ieLUzg': 1, 'x2ZMAyneUiBD6Sml0Fv2Xw': 1, 'kg4AP5am_IUczgp1neOvMw': 1, 'E77k6ZiJ5uGuUiknlj8YOg': 1, 'm4LaTWm5vP01mGpFcqoPZw': 1, 'ifVVRWX3oEe2tPAcBLPrRw': 1, 'Cy9XgM3ZG2jZ1ganvolb6Q': 1, '4O0GslAIwG_1regXO_UcaQ': 1, 'v3MGJBF1Mc61KwgqiIY-uA': 1, 'LA8PZ4ygfClTtdsRpUcBnw': 1, '#NAME?': 2, 'DPB4hpqCd49yC8BwmsOAqA': 1, 'EQprBEi0PHAj3Io-J2i9wQ': 1, 'H75yc2Vp7d8wuAe339DpOA': 1, '3KCL_Bu8mOk-h7Bp-IXL8Q': 1}",
35,RfX5_NR_cLUTi70erRFBug,"{'Jh-8r-RwvkRs80HP_q6DYA': 1, '#NAME?': 1, 'fvzr5GVCnNpnF9V-MvYrFg': 1, 'PoZvN_XDj8Z40Y2TZrDfHw': 1}",
36,Gq76Me8hv8s7Ab9nECGDeA,"{'9ylfrWjdX6CltGs_Qcv7Ng': 1, 'Sfg-nFqLLS5T_hRCVSm4HA': 1, 'UK3I6zxc4D1xwjItJ9vWyw': 1, 'Q4ULAiIE2qCA4RYplCTrUQ': 1, '14gY1iJ-KRnERxHj4ONasA': 1, 'vvPzcOhbQn5fLQUAIxcP6A': 1}",
37,hovZ1YvG3lSrQ4OzqKSI0w,"{'5Udv4CASAXB2eH66TefWPQ': 1, 'za5fND9-pXyVSk5rM28MsQ': 1}",
38,nRUzGkgY7sQtZ8mb7mMeTQ,{'fd8Pa584WDbhuw5oqGkOcg': 1},
39,TzUnJI0RIw25QKmLA4KeYg,{'Y2p07YEC8xOsYTHWf0UxiA': 1},
40,MPvlwRTwAswueZgNdyYuow,{'3KCL_Bu8mOk-h7Bp-IXL8Q': 1},
41,f-NRjYJ1nBiiedKnoO6mPw,"{'0ayh3LxJwSbJEOlBCx9APA': 1, 'g5U8omEQje5lRx4EherR0w': 2, 'dwz55gqPZwSBD74yFFb27g': 1, 'fiq9z9dR9dBGjA6wGXFYoA': 1, 'gHBf6Ve-jxMBZQE3Z1mviQ': 1, 'Dq6g0ubf267tWRU4BSk44A': 1, '9VtaTbTKVK9sQVy4j2RO-w': 1, '5BWRiF8PBGxmK4C6gr5YPw': 1, 'KiVpfyWThpqf29pVMso_nA': 1, 'NtV0tKJB-NzkJ3l4aYzSVg': 1, 'YULg9VKAVrQIxw3qBG8PoQ': 1, 'a9-qixaIQftb4HNZz4ocIw': 2, 'wHi8ODv7TGmeUB02XoX-mA': 1, 'Uiz1Xq1I6jdnDLtzIIF9hQ': 1, 'pMm91uJMxfq6CFON9LqLRg': 1, 'fI4vZhMLxuyoY6Q7BzVcLQ': 1, '#NAME?': 1, 'IF5n-Y1n4XKGM7Zugkoy5A': 1, 'SsGNAc9U-aKPZccnaDtFkA': 1, 'exyrJvzW0pXIfeWwJwYBvA': 1}",
42,jzhbRWDOog8YbiUG2GKF-w,"{'cTrEkyZXz4gBDOdN8vsRlQ': 1, 'rB6IWv6mW2IVjvgfvNGdHg': 1}",
43,06kadzVdjfQpr3UoqBvjrw,{'xY1k8cye55AsHpPDI_CAOA': 1},
44,tR0nlaQcxkogrdyzHjtdCQ,{'9oeMdTVt0VeI-enjBpKBiQ': 1},
45,_LkMjzdw1FiMDmzrjLFC5w,{'EmHlwDc9RsK597NbJtyEmg': 2},
46,vQ6q1kXXSdOiqcdrzxi-dw,{'k8Vih-WEeO5Jmilhbm2xmg': 1},
47,9_TGnJJN35pF90nROpzuIA,{'XmdTkxKyJd7TuDLoiic1kg': 1},
48,13a1TSyqAxSUbXCMH4LwQA,{'cTrEkyZXz4gBDOdN8vsRlQ': 1},
49,njQ8Bn6HtqD0iMI5ABX38g,"{'wc6MUrDdAtQLqKUDn4F0ew': 1, 'X7844DdJO4y2oVbcpxD-NA': 1, 'NeUf9FyCCIN4MEseNyqkXQ': 1}",
50,NMn08f_bBvi9ZectFgvtog,{'aJyXTD7iw4220uSAAuPtCQ': 1},
51,4PrAELYnHgnKexz3JlbDYQ,"{'gH9K3VJopFzy2vECjkgGKw': 1, 'aXthTj06rRhELf3yhh-LLg': 1}",
52,kOZWvBPYZaj_wFFHLJFa_A,{'ozyBhDBzZg8TRtHIP1wWUw': 1},
53,ukdmy6fKHF8zJkULc8_zkw,{'SsGNAc9U-aKPZccnaDtFkA': 1},
54,bXH_304NXoF7uLVsSpVI5w,{'ZurbTJZ8nTlngOiqcn4-1g': 1},
55,vryT2Qf0-ug3yR5UYPt7XQ,"{'ihUWFwY0r3ApW5aZ4Aqf9Q': 1, 'dRhY_HXQKfue3UGUCeNO9Q': 1, 'vGqquKUhtzw3hosrYfxf4A': 1, 'h5cvE8TClzDrrlg88gD97Q': 1, '1vK7gWQ_b5ehAyOidOsYtg': 1, 'fT6jJp8rLQQ2EZZTz4tjVQ': 2, '9iwONFY-aRZA1mgmVgm2ZQ': 1, 'xu7PDGbHRp7f3cLYGhHrAg': 1, 'vgXE1I7c9ElcfYyZfQiN1Q': 1, '2ChkhRUwGbneeCzaWCaJxg': 1, 'W0YoIQCjKGcEuAxjl2u8Ng': 1, 'F2E65oG75c1vT51Hd8uMPA': 1, '7yCFfHHcs88ffYIa3NTumA': 1, 'qKqld7dwt00qW938tRTSjA': 1, 'MALVwbgb3rS4GBu9tGlNUg': 1, 'UK51LgJRJ8_LUQQPZ5zfxw': 1, 'y2eo_MWD3XfnxxvhXh7Esw': 1, 'EBrwIYYtBdGQ5X3zuvM1qg': 1, 'ik3VPGhaJ0sKCa2plKyVoQ': 1}",
56,O0eYjk-Z-ygx8Muz9au0_Q,"{'9ylfrWjdX6CltGs_Qcv7Ng': 1, 'AwQwf4mbaJfE4F5Tk2KQRg': 1, '0NcAGBrIXSde76VNgtSj6g': 1, '4eRlRYQ4iBedD7Ymiuah7Q': 1, 'tJjC4MA0H_nWZUBpvgtLxw': 1, 'uvdS1a6h0wS0R9gryFX4oQ': 1, 'wHi8ODv7TGmeUB02XoX-mA': 1, 'bBGaDEJVpUNEm1qAMdx0_Q': 1, 'FZMQgCGGYDEXcQhZslAHxw': 1, 'PBw1_DSuQBQYDUJ_npPIJw': 1, 'WX3qnzlSas7kYZ5-uI30Bw': 1, 'PFJKMFteg0bdyLAkHx_b9g': 1, 'OxIeMVcop5oxBUWANi-1Rw': 1, '4D2FmqwuQ_OXypQkQqQZcw': 1, 'rR_szXNwNQB-MgEoTElb8Q': 1, 'X7844DdJO4y2oVbcpxD-NA': 1, 'wc6MUrDdAtQLqKUDn4F0ew': 1, 'P239JxvlJ_mTmMZk-2K9QA': 1, 'bwu0cUZfksuu-uzTPrrl2A': 1, 'PUS65BH7urto4zhUJ5Obmw': 1, '1uMpsCZjnKHEaPdrxAMY-Q': 1, 'UrS9awRtye1YFlW5V1bWzw': 1, 'WcfPijF960O8DtSqoLIbcw': 1, 'v6HiAVLwKiXZ9Yqvd4ubNg': 1, 'pMBxvWFY03Z95jNVUVWGwg': 1, '#NAME?': 3, 'QF8LfL5rJbb0T81oIvri8Q': 1, '0ayh3LxJwSbJEOlBCx9APA': 1, '1zKH87sjLpRr8XDKmk7j1g': 1, 'pe6OU0r4NqVl6qfurqXInQ': 1, 'WTSOPGECPOmq-PUxNiHptQ': 1, 'uuz1Um4FzxNxqBMgffSPJw': 1}",
57,lmMvpjllWsyDcAwfZN1suQ,"{'2X5G4Ujq0s4Wfn4TC7gX0g': 1, 'UrQzDR-nEo5B-EGkSZuE9Q': 1, '0IKwgLg_UApkFzMCAaJ1Lw': 1, 'NeUf9FyCCIN4MEseNyqkXQ': 1}",
58,LK4l1cn6svHM7hTz92YobQ,{'gr6AoBJ5MEkZynXP_MHs1w': 2},
59,jNMH5Z_Bw-D0jf4JSuAUqw,"{'OhjPgyBZudumBTF52HKMGg': 1, 'Fg4nSlxdFrEohuwgu7T92Q': 1, '0V7lC5Xr9dVFbjXpXFbeow': 1}",
60,FixW3C_F5FXggMLZIZMOag,"{'h3la53L9-OX_HlfeAySh0Q': 1, '1Kuuu75LVwr5-1OQ3Zv71w': 1, 'm7cT_avH6bvwUz4f1VgZUA': 1, 'jpD9ONjJfx5ishYOx9vU0Q': 1, '7xNe2WZAQUGMp1_CxGVKnQ': 1, 'U0Vz8LUs9cZXV9ZKo7Sbmg': 1, 'b1NrEJv3vApVbtpybxYuOg': 1, 'XanrfoWIqH30w2caNLef1A': 1, '1qCuOcks5HRv67OHovAVpg': 1, 'yXZbEJ6FQUwzFcDFgcU2qA': 1, 'm6ur4KCud1YG9V_0dqGCZQ': 1, '2X5G4Ujq0s4Wfn4TC7gX0g': 1}",
61,oMMgngfAUJTN0FZQ_n44iA,"{'lv2DSTFBOxefUNLbiWexow': 1, '5L-vmM7JA_U1koc01Gw43g': 1}",
62,bjjjz7IrQuYL7nkqpa1GBQ,"{'90Fqfzd8zD9AuuNBSv9lAg': 1, 'UtWdmmCdMtm6iqcc7ccO_g': 1, 'SsGNAc9U-aKPZccnaDtFkA': 1}",
63,YU4gY45NUJ9Wi56YIvB5Yw,"{'5fKlnC-tWnQZii2OuO0TYQ': 1, 'fHfKprgE_HqMcwxuZzBqLA': 1, 'vpDKK0QHZIlxTHu-CNspzQ': 1}",
64,nE7S7urDGXUoDARHicsT4w,{'sF8rL9XOz4v48YdTucaBGQ': 1},
65,zjpxuXjWJNae6dbHcQ9EZQ,{'l3ZH41X7rNxP2K75stSWvw': 1},
66,d_bgRd6AvU8zJ0hNHb9NWA,{'V1VkTR_lhbIVo2WqxTEFeQ': 1},
67,YylnoxtnNYsFCdSgSIZ3_w,"{'K7xm1AAdThx3txHkoWVyCQ': 1, 'nilhvDCyVBuv7gnNkPWZQg': 1, 'SsGNAc9U-aKPZccnaDtFkA': 1}",
