"","X","business_id","clusters","regression_value","after_Jan2010_count","after_Jan2014_count","after_Jun2014_count","after_Jan2015_count","ratings_avg","users_sum","weighted_regression_value","categories","city","state","name","review_count","stars","latitude","longitude","attributes.Alcohol.","attributes.Ambience..casual.","attributes.Ambience..classy.","attributes.Ambience..divey.","attributes.Ambience..hipster.","attributes.Ambience..intimate.","attributes.Ambience..romantic.","attributes.Ambience..touristy.","attributes.Ambience..trendy.","attributes.Ambience..upscale.","attributes.Delivery.","neighborhoods","open","predicted_value"
"1",0,"3zgswf_NfBJpeAoWeTkgMA",1,208,39,13,8,4,3.635628489,49.25833333,179.085,"[Pubs, Bars, American (Traditional), Nightlife, Restaurants]","Pittsburgh","PA","Silky's Pub",52,4,40.458267,-79.942274,"full_bar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Bloomfield]",TRUE,161.4273
"2",1,"4S5CdZawGJfP3vtR4eAQ1g",2,213.5,53,18,16,7,3.636016114,97.225,353.5116667,"[Hotels & Travel, Event Planning & Services, Hotels]","Pittsburgh","PA","Doubletree By Hilton Hotel & Suites - Pittsburgh",61,3.5,40.4404302,-79.9948801,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Downtown]",TRUE,227.98735
"3",2,"H27egCbna1FH8X8HFpLD_A",3,18,9,5,5,1,2.91586373,9.686666666,28.245,"[Tires, Automotive, Auto Repair, Oil Change Stations]","Pittsburgh","PA","Mr Tire Auto Service Centers",9,2,40.4869686,-79.8848614,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",TRUE,28.2073
"4",3,"P9zs1E1Z4JqIR-zPmD1URw",4,264,61,17,11,3,3.799628905,82.63833334,313.995,"[Pubs, Bars, Nightlife, Dance Clubs]","Lawrenceville","PA","New Amsterdam",66,4,40.4721491,-79.95953,"full_bar",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"[Lawrenceville]",TRUE,272.498316666667
"5",4,"cF0FbO-Jzcc9-jJa6qcwPA",4,36,5,2,2,1,4.044473186,16.75166667,67.75166667,"[Shopping, Home & Garden, Antiques, Furniture Stores]","Pittsburgh","PA","Dandelions",8,4.5,40.469577,-79.960824,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Lawrenceville]",TRUE,29.4282
"6",5,"d7X102hxjbTeWVhQVdh64g",5,112.5,21,9,6,2,4.672019596,12.24666667,57.21666667,"[Latin American, Mexican, Restaurants]","Pittsburgh","PA","El Milagro",25,4.5,40.411087,-80.025049,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Beechview]",TRUE,107.332383333333
"7",6,"gXUTqgRQ_ZzkG7qEpR6PBw",6,15,6,2,2,0,2.878401075,14.885,42.845,"[Food, Grocery]","Pittsburgh","PA","Market On Forbes IGA",6,2.5,40.4408964,-79.958095,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Oakland]",TRUE,18.9035333333333
"8",7,"xQYa2C1-tKGx65GpDDNePQ",6,63,13,8,6,2,3.363564738,19.03833333,64.03666666,"[Food, Coffee & Tea]","Pittsburgh","PA","Starbucks",18,3.5,40.4408753,-79.957545,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Oakland]",TRUE,57.3889833333333
"9",8,"Dnw4OKO_qag-X1DOD4Dv7w",7,10.5,3,2,2,1,4.524934383,1.905,8.62,"[Local Services, Furniture Reupholstery, Shopping, Home & Garden, Carpet Cleaning]","Pittsburgh","PA","North Side Carpet Cleaning Company",3,3.5,40.4571957,-79.9945941,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[North Side]",TRUE,11.6569
"10",9,"EnlnNZx1DlO_pTwf1NU4wg",6,270,48,17,12,4,4.634907111,89.98166666,417.0566667,"[Museums, Arts & Entertainment]","Pittsburgh","PA","Carnegie Museum of Natural History",60,4.5,40.4435096,-79.9495912,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Oakland]",TRUE,252.419183333333
"11",10,"NFO5GY2UYZ-OKXroJLDkKA",8,16,11,6,4,1,2.288310571,15.49833333,35.46499999,"[Banks & Credit Unions, Financial Services]","Pittsburgh","PA","Riverset Credit Union",8,2,40.42918,-79.988274,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[South Side]",TRUE,22.16465
"12",11,"NfHxV49mtVRq8enjdq1CeQ",9,64,12,2,2,1,4.33708083,8.598333333,37.29166667,"[Shopping, Jewelry, Antiques]","Pittsburgh","PA","Marlene Harris Collection",16,4,40.492457,-79.863376,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",TRUE,62.5104666666667
"13",12,"UkylGV_aI3RCZJa9pHL0ag",10,20,3,1,1,1,4.999999999,2.646666667,13.23333333,"[Health & Medical, Dentists, General Dentistry]","Pittsburgh","PA","Smiga Steven I, DMD",4,5,40.353459,-79.979003,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",TRUE,17.80065
"14",13,"V1MrrhkHkKFQc2dhl8hi6w",11,40.5,7,2,2,0,4.315687985,36.30166667,156.6666667,"[Active Life, Parks]","Pittsburgh","PA","Grandview Park",9,4.5,40.42738155,-79.99733448,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Allentown]",TRUE,37.43355
"15",14,"XtQgLRofbvrivJyinGZtkQ",12,115.5,24,6,4,2,3.933158388,44.45833333,174.8616667,"[Fast Food, Mexican, Restaurants]","Pittsburgh","PA","Chipotle Mexican Grill",33,3.5,40.4541927,-79.9473993,"none",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Bloomfield]",TRUE,111.3702
"16",15,"o3ljI0O6uFgsvTT4QM_LLw",13,15,6,2,2,2,2,2,4,"[Pizza, Sandwiches, Restaurants]","Munhall","PA","Original Ray's Pizza",5,3,40.388227,-79.912987,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Homestead]",TRUE,15.8968
"17",16,"ovIUSeYR4kncxyv86D6QPA",2,96,22,9,9,2,3.284847317,17.30166667,56.83333334,"[Sandwiches, Restaurants]","Pittsburgh","PA","Sammy's Famous Corned Beef",24,4,40.4430495,-79.9979345,"full_bar",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[Downtown]",TRUE,89.3130666666667
"18",17,"pMBxvWFY03Z95jNVUVWGwg",8,423.5,120,31,26,12,3.408731418,147.0933333,501.4016666,"[Breakfast & Brunch, Bars, American (New), Nightlife, Restaurants]","Pittsburgh","PA","Local Bar + Kitchen",121,3.5,40.4290019,-79.9828,"full_bar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[South Side]",TRUE,434.737683333333
